label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
1.0,0.280162,0.536238,0.623739,0.272316,0.531870,0.682155,0.275610,0.530045,0.689073,0.292960,0.581878,0.811583,0.277754,0.576413,0.637931,0.378175,0.601263,0.724560,0.368098,0.588038,0.692513,0.527613,0.570802,0.512842,0.511055,0.594074,0.567636,0.596294,0.496155,0.362968,0.593327,0.490220,0.363561,0.609913,0.618195,0.696080,0.595918,0.610193,0.699219,0.797264,0.567361,0.437526,0.762504,0.550328,0.624807,0.789177,0.566682,0.006801,0.771294,0.569459,0.034477
1.0,0.282852,0.549086,0.665620,0.272150,0.534538,0.679132,0.264296,0.546290,0.604713,0.290448,0.583976,0.676356,0.273569,0.598033,0.583943,0.367209,0.603811,0.666431,0.368927,0.590122,0.773456,0.500348,0.577799,0.599984,0.517886,0.582013,0.496170,0.589138,0.477500,0.673882,0.560658,0.503102,0.362090,0.607346,0.613465,0.763019,0.596557,0.590021,0.732007,0.770333,0.563052,0.453586,0.779863,0.555341,0.634474,0.744453,0.582267,0.007127,0.770998,0.575319,0.033771
1.0,0.292038,0.557984,0.579517,0.276836,0.561838,0.723070,0.272593,0.570723,0.742142,0.281162,0.616200,0.810226,0.289538,0.589993,0.656587,0.378309,0.650165,0.710750,0.359048,0.614372,0.766030,0.496908,0.594706,0.562946,0.485311,0.573055,0.546696,0.506666,0.468222,0.645638,0.510264,0.464919,0.231869,0.631204,0.610180,0.766359,0.605387,0.593003,0.658038,0.793287,0.569592,0.479587,0.771426,0.547161,0.573485,0.762451,0.570005,0.008921,0.724352,0.561167,0.053113
1.0,0.295955,0.541883,0.511142,0.276219,0.544520,0.565321,0.286348,0.549169,0.526389,0.284606,0.600345,0.819450,0.282806,0.610308,0.699905,0.363657,0.637213,0.693047,0.370972,0.610943,0.659420,0.496918,0.561918,0.556688,0.466031,0.567577,0.445354,0.462837,0.474268,0.652715,0.437966,0.473796,0.240315,0.610770,0.591088,0.761944,0.611075,0.589306,0.568183,0.796961,0.546736,0.563469,0.739385,0.541852,0.550498,0.739352,0.574182,0.010284,0.733298,0.565844,0.044774
1.0,0.312169,0.537598,0.600120,0.289214,0.557790,0.749954,0.278642,0.565549,0.683373,0.288620,0.592811,0.865294,0.279402,0.612370,0.652738,0.366594,0.624325,0.834233,0.373055,0.597884,0.715855,0.502843,0.553026,0.657668,0.486923,0.560304,0.461350,0.429541,0.474707,0.472449,0.422713,0.467912,0.522859,0.609766,0.606691,0.705088,0.628363,0.589703,0.691364,0.763328,0.554174,0.416309,0.748519,0.558984,0.387815,0.778560,0.576429,0.005193,0.773628,0.547913,0.021930
1.0,0.300837,0.549941,0.606847,0.288577,0.552360,0.475728,0.285895,0.531713,0.431383,0.287761,0.603618,0.667874,0.277375,0.588872,0.638559,0.361830,0.615013,0.802012,0.367223,0.609622,0.653980,0.494324,0.540377,0.586989,0.474823,0.550430,0.469310,0.392988,0.494831,0.550940,0.412532,0.473572,0.412885,0.623035,0.599809,0.683763,0.608407,0.571762,0.648028,0.790884,0.551032,0.424641,0.774045,0.555795,0.408252,0.758628,0.582668,0.007235,0.769877,0.569868,0.025424
1.0,0.301888,0.538870,0.563494,0.285568,0.530949,0.626142,0.292742,0.528330,0.648699,0.291100,0.585317,0.716253,0.276386,0.591832,0.630211,0.370516,0.633694,0.666468,0.357228,0.617365,0.682677,0.488397,0.547490,0.656783,0.471250,0.530566,0.375046,0.383388,0.507234,0.588402,0.378986,0.492710,0.433340,0.624923,0.610376,0.620344,0.639230,0.587738,0.662239,0.781761,0.538619,0.541829,0.760265,0.554157,0.446640,0.782114,0.574157,0.007462,0.738103,0.572072,0.031346
1.0,0.327854,0.517330,0.473005,0.306778,0.545500,0.377331,0.304450,0.535699,0.519378,0.282161,0.571105,0.731719,0.282644,0.553054,0.589131,0.372376,0.602417,0.707854,0.366280,0.571323,0.582749,0.473512,0.521340,0.610190,0.486611,0.513402,0.376934,0.376639,0.494786,0.365533,0.367162,0.505663,0.308256,0.635260,0.574078,0.756070,0.642342,0.583865,0.556664,0.793614,0.542837,0.565270,0.787074,0.549167,0.531066,0.757190,0.567934,0.006244,0.754266,0.545086,0.021240
1.0,0.316880,0.498100,0.513527,0.298452,0.510866,0.578854,0.297664,0.498511,0.552904,0.287443,0.546719,0.610281,0.279891,0.546882,0.410529,0.360397,0.614430,0.815709,0.356168,0.575073,0.608276,0.483725,0.499246,0.543032,0.487692,0.503187,0.481002,0.381792,0.508972,0.392714,0.367054,0.494882,0.374000,0.631612,0.575216,0.702216,0.641255,0.564165,0.656668,0.773406,0.547063,0.569277,0.751761,0.545404,0.563731,0.771283,0.559186,0.008931,0.733724,0.563167,0.035212
1.0,0.293130,0.510694,0.523702,0.286152,0.534900,0.363806,0.285039,0.541044,0.400113,0.283527,0.583757,0.493098,0.272124,0.564421,0.478615,0.375993,0.623256,0.834083,0.362888,0.546667,0.486304,0.481078,0.519463,0.466742,0.474248,0.510559,0.518610,0.396772,0.517946,0.360224,0.406709,0.499310,0.242383,0.641754,0.591177,0.737981,0.632374,0.556616,0.738096,0.767737,0.546100,0.615872,0.745941,0.526989,0.572590,0.744691,0.553538,0.012881,0.768200,0.537370,0.044238
