label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
1.0,0.285378,0.474412,0.623739,0.268086,0.460255,0.682155,0.268803,0.459633,0.689073,0.282635,0.417908,0.811583,0.285098,0.415183,0.637931,0.366996,0.402835,0.724560,0.374105,0.393645,0.692513,0.509331,0.419767,0.512842,0.513691,0.414048,0.567636,0.584519,0.495287,0.362968,0.596189,0.502080,0.363561,0.608029,0.403191,0.696080,0.607833,0.395243,0.699219,0.767257,0.451147,0.437526,0.778113,0.440857,0.624807,0.754668,0.432320,0.006801,0.767012,0.428160,0.034477
1.0,0.285246,0.464027,0.665620,0.268471,0.450009,0.679132,0.269285,0.450260,0.604713,0.280543,0.409928,0.676356,0.283207,0.404732,0.583943,0.366147,0.398029,0.666431,0.369923,0.385314,0.773456,0.505200,0.417601,0.599984,0.509289,0.416609,0.496170,0.559298,0.508396,0.673882,0.573514,0.518737,0.362090,0.607753,0.401101,0.763019,0.606247,0.390505,0.732007,0.769602,0.450379,0.453586,0.780632,0.443563,0.634474,0.748823,0.432768,0.007127,0.756660,0.429472,0.033771
1.0,0.290814,0.458002,0.579517,0.273828,0.443915,0.723070,0.274538,0.443980,0.742142,0.281930,0.399016,0.810226,0.285354,0.397474,0.656587,0.366834,0.382019,0.710750,0.370649,0.367102,0.766030,0.495877,0.419290,0.562946,0.507334,0.419975,0.546696,0.503099,0.525891,0.645638,0.509644,0.535239,0.231869,0.616277,0.402064,0.766359,0.617434,0.388387,0.658038,0.760893,0.449062,0.479587,0.774861,0.443057,0.573485,0.743670,0.431909,0.008921,0.751346,0.428821,0.053113
1.0,0.297964,0.455504,0.511142,0.280166,0.443274,0.565321,0.281485,0.442838,0.526389,0.285110,0.398215,0.819450,0.289340,0.395790,0.699905,0.366248,0.398545,0.693047,0.369636,0.367238,0.659420,0.468017,0.441207,0.556688,0.500882,0.441225,0.445354,0.440503,0.522566,0.652715,0.468194,0.531352,0.240315,0.618352,0.419552,0.761944,0.617598,0.391994,0.568183,0.760182,0.451548,0.563469,0.773856,0.445386,0.550498,0.747204,0.434344,0.010284,0.755018,0.431538,0.044774
1.0,0.303882,0.459732,0.600120,0.285430,0.447773,0.749954,0.286434,0.446425,0.683373,0.284847,0.403075,0.865294,0.286020,0.399064,0.652738,0.364973,0.401295,0.834233,0.371031,0.364049,0.715855,0.487033,0.451493,0.657668,0.491771,0.444953,0.461350,0.433700,0.523500,0.472449,0.431416,0.518318,0.522859,0.625453,0.419832,0.705088,0.624890,0.395790,0.691364,0.765042,0.455121,0.416309,0.773922,0.446295,0.387815,0.757709,0.442315,0.005193,0.766938,0.434117,0.021930
1.0,0.305203,0.464185,0.606847,0.286135,0.452076,0.475728,0.286955,0.453045,0.431383,0.284425,0.410814,0.667874,0.286952,0.411483,0.638559,0.362006,0.394875,0.802012,0.368934,0.374062,0.653980,0.475819,0.461287,0.586989,0.484087,0.458643,0.469310,0.403787,0.517326,0.550940,0.400514,0.518791,0.412885,0.623895,0.421105,0.683763,0.624753,0.403004,0.648028,0.764284,0.453956,0.424641,0.774475,0.447527,0.408252,0.756410,0.433547,0.007235,0.762606,0.431427,0.025424
1.0,0.304115,0.474452,0.563494,0.285221,0.463192,0.626142,0.285663,0.465025,0.648699,0.281671,0.419170,0.716253,0.283684,0.420289,0.630211,0.363241,0.394134,0.666468,0.368396,0.383255,0.682677,0.470815,0.465246,0.656783,0.477964,0.464844,0.375046,0.386774,0.505952,0.588402,0.383426,0.506286,0.433340,0.626251,0.421478,0.620344,0.627229,0.407003,0.662239,0.763303,0.453189,0.541829,0.773838,0.450912,0.446640,0.757091,0.435343,0.007462,0.763355,0.433912,0.031346
1.0,0.321976,0.481361,0.473005,0.303894,0.477974,0.377331,0.300353,0.469108,0.519378,0.288406,0.437058,0.731719,0.287568,0.425572,0.589131,0.359944,0.412523,0.707854,0.367431,0.384104,0.582749,0.473394,0.486403,0.610190,0.476344,0.483859,0.376934,0.373227,0.492046,0.365533,0.375391,0.492739,0.308256,0.630234,0.427260,0.756070,0.632148,0.410082,0.556664,0.765890,0.458583,0.565270,0.773726,0.453664,0.531066,0.753172,0.445244,0.006244,0.760756,0.438816,0.021240
1.0,0.320578,0.496862,0.513527,0.300269,0.492084,0.578854,0.300489,0.489682,0.552904,0.282154,0.449582,0.610281,0.285684,0.456384,0.410529,0.359782,0.425256,0.815709,0.368861,0.389485,0.608276,0.473625,0.496291,0.543032,0.476551,0.490662,0.481002,0.372317,0.500010,0.392714,0.375064,0.492068,0.374000,0.624444,0.438464,0.702216,0.627574,0.419365,0.656668,0.762246,0.461799,0.569277,0.773665,0.451726,0.563731,0.755407,0.447157,0.008931,0.763813,0.443140,0.035212
1.0,0.300066,0.477783,0.523702,0.279812,0.473936,0.363806,0.279124,0.467816,0.400113,0.272059,0.436077,0.493098,0.278348,0.432381,0.478615,0.357672,0.437084,0.834083,0.365828,0.394519,0.486304,0.482695,0.497652,0.466742,0.481537,0.489084,0.518610,0.418108,0.497249,0.360224,0.397433,0.484398,0.242383,0.621990,0.440679,0.737981,0.624870,0.421297,0.738096,0.765206,0.462825,0.615872,0.773008,0.451058,0.572590,0.758045,0.447816,0.012881,0.765431,0.443221,0.044238
