label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
1.0,0.277342,0.481622,0.623739,0.271839,0.467872,0.682155,0.261245,0.473130,0.689073,0.278847,0.419146,0.811583,0.290640,0.422109,0.637931,0.370246,0.409924,0.724560,0.364922,0.392592,0.692513,0.507278,0.415462,0.512842,0.527065,0.422787,0.567636,0.584327,0.500729,0.362968,0.601122,0.516050,0.363561,0.605956,0.411520,0.696080,0.603265,0.395801,0.699219,0.761914,0.455253,0.437526,0.760569,0.446870,0.624807,0.738026,0.443244,0.006801,0.777048,0.429579,0.034477
1.0,0.278502,0.453331,0.665620,0.276010,0.463021,0.679132,0.268111,0.460236,0.604713,0.287702,0.408070,0.676356,0.276044,0.416117,0.583943,0.360999,0.398915,0.666431,0.366370,0.375367,0.773456,0.502458,0.413916,0.599984,0.494047,0.425133,0.496170,0.555517,0.501185,0.673882,0.571579,0.531244,0.362090,0.624191,0.393268,0.763019,0.589077,0.384913,0.732007,0.784608,0.448702,0.453586,0.772980,0.450993,0.634474,0.728646,0.431794,0.007127,0.744542,0.438595,0.033771
1.0,0.283906,0.445283,0.579517,0.275338,0.441487,0.723070,0.278227,0.450024,0.742142,0.279181,0.405783,0.810226,0.283842,0.392441,0.656587,0.360321,0.377540,0.710750,0.366657,0.362111,0.766030,0.510365,0.422726,0.562946,0.517536,0.417847,0.546696,0.516778,0.520902,0.645638,0.523058,0.523053,0.231869,0.611985,0.409655,0.766359,0.619861,0.390581,0.658038,0.778164,0.449567,0.479587,0.756663,0.439324,0.573485,0.734774,0.424375,0.008921,0.738571,0.418702,0.053113
1.0,0.303011,0.449408,0.511142,0.282603,0.436662,0.565321,0.279257,0.436984,0.526389,0.286188,0.408724,0.819450,0.285102,0.394633,0.699905,0.355843,0.401840,0.693047,0.359269,0.359229,0.659420,0.463288,0.429273,0.556688,0.497026,0.443518,0.445354,0.444350,0.515596,0.652715,0.473904,0.546972,0.240315,0.635538,0.408802,0.761944,0.599194,0.403026,0.568183,0.756456,0.446401,0.563469,0.766116,0.441610,0.550498,0.724994,0.437012,0.010284,0.776795,0.423694,0.044774
1.0,0.302643,0.465688,0.600120,0.291880,0.450444,0.749954,0.292285,0.448943,0.683373,0.279147,0.403419,0.865294,0.289967,0.402564,0.652738,0.364712,0.390860,0.834233,0.378763,0.355113,0.715855,0.489970,0.460355,0.657668,0.500267,0.440414,0.461350,0.422865,0.523496,0.472449,0.420665,0.509717,0.522859,0.631666,0.428063,0.705088,0.630451,0.394223,0.691364,0.782856,0.450166,0.416309,0.766774,0.451033,0.387815,0.765356,0.445327,0.005193,0.769256,0.422395,0.021930
1.0,0.300798,0.460023,0.606847,0.290724,0.463160,0.475728,0.288133,0.465234,0.431383,0.290013,0.407657,0.667874,0.293747,0.408810,0.638559,0.351760,0.394336,0.802012,0.377501,0.380433,0.653980,0.471065,0.466919,0.586989,0.491528,0.449494,0.469310,0.405461,0.532492,0.550940,0.404109,0.533764,0.412885,0.637621,0.426534,0.683763,0.629921,0.396536,0.648028,0.752960,0.460310,0.424641,0.761202,0.439108,0.408252,0.774744,0.425421,0.007235,0.778940,0.418973,0.025424
1.0,0.297024,0.479117,0.563494,0.285838,0.471218,0.626142,0.280357,0.466680,0.648699,0.277622,0.418999,0.716253,0.281029,0.408225,0.630211,0.366409,0.396911,0.666468,0.373384,0.392835,0.682677,0.482823,0.462285,0.656783,0.482633,0.462918,0.375046,0.379997,0.510351,0.588402,0.392566,0.507181,0.433340,0.637701,0.424619,0.620344,0.622466,0.410944,0.662239,0.742999,0.465026,0.541829,0.757211,0.438249,0.446640,0.767022,0.435471,0.007462,0.783628,0.426900,0.031346
1.0,0.328558,0.472793,0.473005,0.296424,0.475242,0.377331,0.305009,0.460146,0.519378,0.280913,0.433854,0.731719,0.289088,0.420474,0.589131,0.364268,0.410570,0.707854,0.361056,0.377343,0.582749,0.474111,0.476902,0.610190,0.483714,0.477591,0.376934,0.366289,0.498172,0.365533,0.379694,0.481330,0.308256,0.637853,0.434328,0.756070,0.629717,0.407757,0.556664,0.748762,0.452337,0.565270,0.785578,0.461333,0.531066,0.737064,0.434035,0.006244,0.774281,0.431703,0.021240
1.0,0.314891,0.510399,0.513527,0.296460,0.479372,0.578854,0.306940,0.498847,0.552904,0.277102,0.453638,0.610281,0.289000,0.462950,0.410529,0.349179,0.421492,0.815709,0.357828,0.388265,0.608276,0.462532,0.492581,0.543032,0.463840,0.489369,0.481002,0.366037,0.506700,0.392714,0.375885,0.488574,0.374000,0.622117,0.438796,0.702216,0.632613,0.426230,0.656668,0.758597,0.465490,0.569277,0.759355,0.462257,0.563731,0.741554,0.435703,0.008931,0.764689,0.434044,0.035212
1.0,0.307244,0.484142,0.523702,0.280150,0.475593,0.363806,0.285061,0.466284,0.400113,0.272187,0.444649,0.493098,0.270191,0.429280,0.478615,0.357400,0.438443,0.834083,0.363019,0.395395,0.486304,0.496725,0.493583,0.466742,0.483763,0.489779,0.518610,0.416450,0.483724,0.360224,0.385952,0.480207,0.242383,0.616981,0.431790,0.737981,0.622127,0.423458,0.738096,0.780735,0.475053,0.615872,0.751091,0.444549,0.572590,0.747715,0.452733,0.012881,0.781363,0.436573,0.044238
