label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
0.0,0.351977,0.470847,0.359891,0.347036,0.471625,0.435588,0.345352,0.477783,0.470192,0.335361,0.434651,0.451999,0.348275,0.430501,0.562730,0.368061,0.423928,0.536088,0.394806,0.437295,0.451834,0.389850,0.492544,0.140684,0.423881,0.490765,0.378660,0.371921,0.483869,0.247541,0.389422,0.495500,0.278352,0.506337,0.475177,0.614361,0.503702,0.465317,0.517250,0.607992,0.461119,0.554735,0.604612,0.452263,0.430225,0.725763,0.454179,0.424180,0.711062,0.442943,0.605855
0.0,0.362879,0.511447,0.538006,0.354617,0.513381,0.528017,0.341704,0.510951,0.556718,0.339914,0.510233,0.557079,0.351710,0.507699,0.608937,0.381646,0.458495,0.436736,0.401740,0.465821,0.622637,0.460171,0.444653,0.256516,0.464794,0.433024,0.595603,0.513029,0.453983,0.230232,0.504523,0.438640,0.412696,0.534113,0.449480,0.431796,0.532805,0.434512,0.591140,0.629630,0.435674,0.537289,0.634248,0.456526,0.559054,0.697808,0.446369,0.613912,0.749017,0.445223,0.553885
0.0,0.360005,0.540033,0.633228,0.345395,0.512981,0.552180,0.351977,0.534351,0.552945,0.339023,0.497687,0.514770,0.354592,0.492612,0.556141,0.372589,0.455065,0.491591,0.380154,0.464951,0.555495,0.447482,0.421430,0.340581,0.448738,0.449919,0.650939,0.527042,0.413099,0.251657,0.502902,0.422372,0.418168,0.531449,0.449868,0.558541,0.517863,0.434095,0.630332,0.612138,0.445747,0.455396,0.612041,0.455113,0.440407,0.708015,0.445599,0.434904,0.715320,0.432832,0.497831
0.0,0.376770,0.531676,0.606719,0.358250,0.525680,0.493447,0.355243,0.534486,0.474796,0.343407,0.525966,0.525168,0.340432,0.496410,0.592255,0.370699,0.489327,0.531503,0.386004,0.476113,0.585667,0.448260,0.444652,0.277278,0.437734,0.428814,0.627331,0.511051,0.420542,0.260512,0.519476,0.420413,0.376030,0.504329,0.454058,0.586633,0.508920,0.444871,0.619946,0.591752,0.445823,0.514929,0.604503,0.449124,0.539028,0.711700,0.429814,0.459133,0.729158,0.447489,0.621507
0.0,0.368792,0.556804,0.495902,0.357482,0.540731,0.564469,0.373211,0.523391,0.603894,0.360442,0.528861,0.549203,0.345161,0.525129,0.577329,0.376393,0.474562,0.492405,0.388478,0.502756,0.543628,0.431008,0.430475,0.309108,0.474359,0.432578,0.583083,0.501659,0.425530,0.220247,0.502731,0.420411,0.360356,0.509079,0.435851,0.645835,0.508895,0.445778,0.581754,0.604375,0.461142,0.461595,0.618416,0.464469,0.683183,0.690839,0.439526,0.276263,0.729137,0.433948,0.574419
0.0,0.374122,0.555879,0.622687,0.368269,0.548282,0.546809,0.370503,0.544962,0.607374,0.356489,0.533565,0.509762,0.358741,0.508088,0.493581,0.372072,0.486818,0.644988,0.403944,0.488229,0.642463,0.456006,0.423954,0.315464,0.456426,0.454721,0.575657,0.516922,0.417700,0.289911,0.516220,0.425651,0.403465,0.522864,0.449032,0.602644,0.510665,0.460931,0.574341,0.609118,0.465020,0.475292,0.619541,0.471399,0.660033,0.699702,0.434401,0.416416,0.715471,0.429990,0.599961
0.0,0.386129,0.540145,0.550706,0.363118,0.521828,0.586828,0.369285,0.519375,0.645055,0.364419,0.511433,0.528515,0.367429,0.501148,0.407892,0.394065,0.465684,0.594706,0.394969,0.472106,0.671730,0.456206,0.426709,0.368029,0.479341,0.437780,0.623033,0.512234,0.410379,0.292926,0.538197,0.419838,0.416449,0.513899,0.460296,0.583899,0.533187,0.447699,0.587558,0.617083,0.472390,0.433670,0.618566,0.453831,0.557505,0.711581,0.428157,0.418176,0.713449,0.434362,0.549343
0.0,0.362263,0.535580,0.611167,0.360895,0.515078,0.456362,0.351844,0.523364,0.451331,0.340238,0.500919,0.578253,0.351156,0.516545,0.639997,0.376138,0.488357,0.597151,0.391518,0.471111,0.515490,0.440625,0.453999,0.408653,0.456472,0.434715,0.587748,0.517771,0.463247,0.243350,0.526429,0.444829,0.376892,0.513193,0.460520,0.467665,0.507966,0.439313,0.593356,0.592772,0.465571,0.501605,0.614431,0.467168,0.635121,0.697706,0.432193,0.340814,0.721981,0.430433,0.603879
0.0,0.352991,0.508989,0.571856,0.356382,0.523270,0.447466,0.342787,0.499175,0.477508,0.336831,0.484628,0.632930,0.335994,0.478527,0.697721,0.373910,0.478692,0.543005,0.391067,0.462210,0.555334,0.451023,0.457636,0.366889,0.471171,0.436499,0.570340,0.521507,0.500230,0.278357,0.518115,0.493844,0.315507,0.520159,0.427664,0.513394,0.526576,0.443831,0.538234,0.589996,0.445836,0.498029,0.608228,0.463318,0.379800,0.732189,0.444324,0.512228,0.721531,0.455419,0.629828
0.0,0.357656,0.493367,0.630484,0.349043,0.499357,0.417809,0.345720,0.493164,0.516140,0.329154,0.484383,0.501218,0.332291,0.484656,0.641899,0.371382,0.447346,0.531349,0.373369,0.454100,0.527363,0.440063,0.447995,0.280482,0.463452,0.446937,0.624312,0.484058,0.520998,0.267142,0.487609,0.499007,0.392323,0.494840,0.435007,0.590763,0.521245,0.442572,0.537064,0.604633,0.426228,0.508034,0.605547,0.460085,0.357359,0.726247,0.446678,0.433166,0.705359,0.450701,0.576337
