label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
0.0,0.354043,0.478439,0.359891,0.340652,0.452921,0.435588,0.346627,0.451728,0.470192,0.329152,0.445514,0.451999,0.350627,0.448325,0.562730,0.367953,0.436758,0.536088,0.378425,0.428592,0.451834,0.386441,0.504428,0.140684,0.418358,0.495690,0.378660,0.363127,0.492783,0.247541,0.393526,0.504957,0.278352,0.521926,0.460235,0.614361,0.517649,0.460737,0.517250,0.601724,0.451413,0.554735,0.635255,0.469404,0.430225,0.705273,0.432046,0.424180,0.720293,0.443937,0.605855
0.0,0.351399,0.522950,0.538006,0.349755,0.515820,0.528017,0.352019,0.519704,0.556718,0.339212,0.487797,0.557079,0.343705,0.488997,0.608937,0.368161,0.457069,0.436736,0.396694,0.470156,0.622637,0.463757,0.428651,0.256516,0.456364,0.449153,0.595603,0.534631,0.441334,0.230232,0.525884,0.460080,0.412696,0.515558,0.445977,0.431796,0.538154,0.444075,0.591140,0.616036,0.447246,0.537289,0.632884,0.450770,0.559054,0.692507,0.436520,0.613912,0.713649,0.454611,0.553885
0.0,0.358262,0.524087,0.633228,0.350141,0.517093,0.552180,0.353211,0.529001,0.552945,0.349901,0.496054,0.514770,0.344835,0.509445,0.556141,0.374958,0.457573,0.491591,0.394084,0.467167,0.555495,0.454748,0.412337,0.340581,0.446221,0.432659,0.650939,0.534436,0.433683,0.251657,0.522711,0.420671,0.418168,0.520749,0.439069,0.558541,0.510199,0.432025,0.630332,0.606860,0.461474,0.455396,0.606427,0.449444,0.440407,0.706800,0.440469,0.434904,0.710818,0.447184,0.497831
0.0,0.358682,0.534712,0.606719,0.349054,0.543598,0.493447,0.347600,0.517046,0.474796,0.344578,0.522478,0.525168,0.356970,0.506539,0.592255,0.374123,0.467530,0.531503,0.380256,0.491916,0.585667,0.440705,0.449700,0.277278,0.439344,0.435364,0.627331,0.513972,0.429771,0.260512,0.507086,0.411979,0.376030,0.511905,0.444301,0.586633,0.516125,0.443596,0.619946,0.593835,0.444553,0.514929,0.605219,0.448311,0.539028,0.725735,0.431360,0.459133,0.711986,0.430750,0.621507
0.0,0.376554,0.559182,0.495902,0.362709,0.538194,0.564469,0.370456,0.525759,0.603894,0.345211,0.528578,0.549203,0.344672,0.526817,0.577329,0.372405,0.490161,0.492405,0.396537,0.491984,0.543628,0.426132,0.452319,0.309108,0.451435,0.452300,0.583083,0.499216,0.425717,0.220247,0.518216,0.433418,0.360356,0.508713,0.447338,0.645835,0.519175,0.460700,0.581754,0.611394,0.445588,0.461595,0.635772,0.450597,0.683183,0.702341,0.441913,0.276263,0.707743,0.453091,0.574419
0.0,0.373892,0.532097,0.622687,0.373232,0.527963,0.546809,0.369623,0.542114,0.607374,0.359819,0.518008,0.509762,0.349451,0.527938,0.493581,0.391926,0.464735,0.644988,0.394820,0.488635,0.642463,0.447391,0.444928,0.315464,0.467365,0.445831,0.575657,0.531365,0.419992,0.289911,0.529558,0.422072,0.403465,0.518311,0.441919,0.602644,0.527848,0.443565,0.574341,0.599941,0.476090,0.475292,0.607691,0.470412,0.660033,0.712481,0.453125,0.416416,0.708866,0.435417,0.599961
0.0,0.378810,0.556702,0.550706,0.374152,0.520960,0.586828,0.367945,0.524467,0.645055,0.359503,0.531084,0.528515,0.358651,0.508876,0.407892,0.395458,0.463687,0.594706,0.407841,0.473912,0.671730,0.468329,0.442140,0.368029,0.459055,0.452713,0.623033,0.530306,0.408944,0.292926,0.540056,0.432966,0.416449,0.524818,0.454338,0.583899,0.520916,0.447596,0.587558,0.607084,0.459448,0.433670,0.621884,0.464246,0.557505,0.718063,0.432348,0.418176,0.711326,0.446214,0.549343
0.0,0.370105,0.518891,0.611167,0.346967,0.529022,0.456362,0.359543,0.521291,0.451331,0.352535,0.521224,0.578253,0.349421,0.512169,0.639997,0.377016,0.497592,0.597151,0.398194,0.468043,0.515490,0.449868,0.458366,0.408653,0.460145,0.436363,0.587748,0.533401,0.475744,0.243350,0.524316,0.454875,0.376892,0.511793,0.464301,0.467665,0.533184,0.445745,0.593356,0.593559,0.462597,0.501605,0.614168,0.453089,0.635121,0.718107,0.444566,0.340814,0.730147,0.445571,0.603879
0.0,0.351539,0.528822,0.571856,0.341169,0.505915,0.447466,0.342129,0.499745,0.477508,0.335296,0.488739,0.632930,0.343222,0.495863,0.697721,0.382061,0.471690,0.543005,0.387772,0.467291,0.555334,0.473210,0.451073,0.366889,0.454501,0.434298,0.570340,0.503280,0.498082,0.278357,0.499276,0.500921,0.315507,0.521014,0.447025,0.513394,0.517082,0.444413,0.538234,0.604099,0.436267,0.498029,0.615253,0.445322,0.379800,0.698430,0.445048,0.512228,0.727015,0.438588,0.629828
0.0,0.354761,0.508255,0.630484,0.334959,0.496680,0.417809,0.341287,0.499141,0.516140,0.326479,0.482324,0.501218,0.336000,0.476544,0.641899,0.376365,0.461144,0.531349,0.386567,0.441627,0.527363,0.454535,0.447680,0.280482,0.453210,0.435423,0.624312,0.493769,0.514359,0.267142,0.491046,0.526089,0.392323,0.503277,0.432448,0.590763,0.507832,0.438134,0.537064,0.601508,0.431639,0.508034,0.612473,0.465092,0.357359,0.712942,0.433168,0.433166,0.715718,0.457975,0.576337
