label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
0.0,0.350511,0.529253,0.359891,0.339751,0.535216,0.435588,0.337683,0.534153,0.470192,0.340556,0.559633,0.451999,0.338073,0.558750,0.562730,0.384265,0.565565,0.536088,0.370684,0.573629,0.451834,0.430668,0.516992,0.140684,0.398248,0.503602,0.378660,0.384647,0.501367,0.247541,0.367525,0.506168,0.278352,0.511838,0.534549,0.614361,0.509939,0.536742,0.517250,0.619809,0.541152,0.554735,0.605522,0.542708,0.430225,0.732220,0.556855,0.424180,0.710074,0.555595,0.605855
0.0,0.362007,0.481337,0.538006,0.347996,0.483362,0.528017,0.346627,0.483640,0.556718,0.341561,0.502217,0.557079,0.338472,0.502413,0.608937,0.390845,0.530108,0.436736,0.373784,0.535566,0.622637,0.460704,0.554221,0.256516,0.450325,0.567130,0.595603,0.515921,0.552325,0.230232,0.525263,0.556921,0.412696,0.530900,0.556267,0.431796,0.525889,0.559365,0.591140,0.621508,0.548590,0.537289,0.614047,0.552021,0.559054,0.728315,0.556955,0.613912,0.711591,0.560683,0.553885
0.0,0.363623,0.470303,0.633228,0.351285,0.474611,0.552180,0.350276,0.474336,0.552945,0.345695,0.495984,0.514770,0.341246,0.491749,0.556141,0.388216,0.521039,0.491591,0.372082,0.531594,0.555495,0.452392,0.558623,0.340581,0.448300,0.575295,0.650939,0.513820,0.573801,0.251657,0.520267,0.574921,0.418168,0.521215,0.556465,0.558541,0.517787,0.560913,0.630332,0.619931,0.548307,0.455396,0.609667,0.549041,0.440407,0.729632,0.560032,0.434904,0.710236,0.562000,0.497831
0.0,0.368284,0.465529,0.606719,0.354064,0.469195,0.493447,0.353707,0.467190,0.474796,0.347379,0.489189,0.525168,0.345768,0.487721,0.592255,0.389802,0.520744,0.531503,0.371316,0.521655,0.585667,0.449124,0.560374,0.277278,0.436318,0.562857,0.627331,0.508812,0.577647,0.260512,0.510614,0.576193,0.376030,0.519098,0.551676,0.586633,0.515484,0.551581,0.619946,0.618697,0.547500,0.514929,0.601974,0.546164,0.539028,0.727756,0.557692,0.459133,0.713653,0.558996,0.621507
0.0,0.374550,0.456236,0.495902,0.366366,0.464508,0.564469,0.365182,0.463043,0.603894,0.354925,0.485030,0.549203,0.351069,0.484448,0.577329,0.395196,0.510387,0.492405,0.372027,0.523159,0.543628,0.460888,0.557083,0.309108,0.428021,0.560540,0.583083,0.512331,0.578455,0.220247,0.505944,0.585360,0.360356,0.515889,0.547790,0.645835,0.508841,0.553764,0.581754,0.620860,0.542706,0.461595,0.595786,0.542596,0.683183,0.728410,0.558533,0.276263,0.709603,0.562343,0.574419
0.0,0.384647,0.459184,0.622687,0.372798,0.462906,0.546809,0.371831,0.461636,0.607374,0.359869,0.484935,0.509762,0.358037,0.480347,0.493581,0.401166,0.512586,0.644988,0.382418,0.521741,0.642463,0.459886,0.557335,0.315464,0.445407,0.567935,0.575657,0.515647,0.585772,0.289911,0.521585,0.585211,0.403465,0.518512,0.548593,0.602644,0.514188,0.549858,0.574341,0.616249,0.534746,0.475292,0.607354,0.532498,0.660033,0.728861,0.557314,0.416416,0.711545,0.559714,0.599961
0.0,0.378435,0.457796,0.550706,0.367755,0.464705,0.586828,0.365870,0.463359,0.645055,0.360120,0.487993,0.528515,0.354818,0.483929,0.407892,0.404777,0.516949,0.594706,0.386162,0.523598,0.671730,0.468621,0.557418,0.368029,0.457400,0.570253,0.623033,0.528976,0.574118,0.292926,0.527134,0.581354,0.416449,0.522989,0.546976,0.583899,0.514551,0.552235,0.587558,0.618416,0.534089,0.433670,0.602292,0.534990,0.557505,0.724703,0.556614,0.418176,0.707936,0.559298,0.549343
0.0,0.367074,0.470111,0.611167,0.354769,0.474865,0.456362,0.355610,0.473764,0.451331,0.351974,0.495886,0.578253,0.349189,0.491883,0.639997,0.394364,0.525993,0.597151,0.381251,0.514652,0.515490,0.464334,0.557014,0.408653,0.452082,0.547920,0.587748,0.522651,0.542161,0.243350,0.530261,0.532944,0.376892,0.519320,0.556884,0.467665,0.511877,0.545513,0.593356,0.617436,0.542396,0.501605,0.598464,0.540150,0.635121,0.729350,0.557212,0.340814,0.707891,0.559003,0.603879
0.0,0.359617,0.483627,0.571856,0.347884,0.489584,0.447466,0.346223,0.489736,0.477508,0.341210,0.507693,0.632930,0.337691,0.507025,0.697721,0.386890,0.537309,0.543005,0.373249,0.531135,0.555334,0.466826,0.553285,0.366889,0.461664,0.553663,0.570340,0.509710,0.502907,0.278357,0.514049,0.503943,0.315507,0.522522,0.562155,0.513394,0.515348,0.559595,0.538234,0.611227,0.547388,0.498029,0.600675,0.551043,0.379800,0.727941,0.557431,0.512228,0.713272,0.560171,0.629828
0.0,0.353946,0.504362,0.630484,0.341700,0.507381,0.417809,0.340821,0.506545,0.516140,0.335866,0.527861,0.501218,0.333708,0.525397,0.641899,0.376578,0.552324,0.531349,0.368631,0.548443,0.527363,0.456045,0.555716,0.280482,0.450040,0.555133,0.624312,0.482785,0.486916,0.267142,0.488028,0.492666,0.392323,0.510494,0.561122,0.590763,0.507667,0.564296,0.537064,0.609057,0.548440,0.508034,0.607499,0.562057,0.357359,0.727018,0.554683,0.433166,0.721604,0.564142,0.576337
