label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
1.0,0.517258,0.476915,0.636404,0.503499,0.517956,0.743807,0.502203,0.457561,0.706824,0.508911,0.556369,0.513965,0.529741,0.428862,0.749021,0.650109,0.619293,0.732032,0.630487,0.366577,0.839854,0.663049,0.813953,0.823544,0.695848,0.189817,0.822751,0.533618,0.736899,0.793939,0.508094,0.234914,0.754803,0.906518,0.577099,0.458967,0.929995,0.403391,0.468119,0.694223,0.745375,0.009793,0.761794,0.335351,0.026301,0.516696,0.726413,0.037904,0.514051,0.232205,0.106755
1.0,0.517112,0.481427,0.676435,0.488165,0.509046,0.733455,0.495567,0.448606,0.671652,0.522052,0.557837,0.532768,0.524275,0.423507,0.748242,0.638519,0.605642,0.785650,0.637507,0.374001,0.834018,0.683571,0.784067,0.893133,0.721020,0.197874,0.770207,0.540063,0.762080,0.650316,0.529187,0.234715,0.741257,0.900127,0.540499,0.283012,0.940293,0.406798,0.468149,0.698168,0.803447,0.035832,0.689491,0.353204,0.029604,0.558233,0.743742,0.036143,0.562958,0.224315,0.063871
1.0,0.534748,0.485603,0.742211,0.502637,0.514099,0.607782,0.511707,0.455158,0.806674,0.516046,0.553254,0.610192,0.540211,0.429486,0.713714,0.657791,0.599911,0.778665,0.633450,0.360401,0.813127,0.693132,0.777172,0.794270,0.703265,0.206485,0.726597,0.533979,0.734550,0.857693,0.535755,0.228986,0.760228,0.915591,0.547267,0.266838,0.933201,0.402555,0.422232,0.716508,0.805040,0.041949,0.666712,0.350413,0.031977,0.559974,0.734243,0.043712,0.569826,0.236390,0.051230
1.0,0.539104,0.487148,0.731532,0.496568,0.522997,0.540690,0.503903,0.466708,0.833799,0.531304,0.533722,0.623143,0.529601,0.437128,0.713345,0.656996,0.592376,0.753898,0.654921,0.364704,0.804281,0.715074,0.769597,0.668679,0.731066,0.200363,0.824753,0.537416,0.743171,0.685318,0.560416,0.228236,0.599690,0.935794,0.541952,0.258732,0.951850,0.382408,0.384064,0.698377,0.769994,0.039002,0.695323,0.345846,0.048280,0.561930,0.728890,0.041456,0.548178,0.228865,0.063497
1.0,0.516423,0.499154,0.730881,0.502957,0.518033,0.555240,0.500099,0.454802,0.843576,0.534310,0.545733,0.676863,0.532587,0.437548,0.673262,0.662518,0.590369,0.794996,0.640259,0.372735,0.798507,0.709778,0.783732,0.784578,0.739692,0.211383,0.824870,0.561444,0.728311,0.709322,0.555300,0.229270,0.697415,0.922172,0.565079,0.365257,0.955151,0.403842,0.488084,0.739371,0.778317,0.033146,0.776038,0.328033,0.024395,0.546299,0.758661,0.041759,0.558254,0.225832,0.085904
1.0,0.526407,0.500435,0.744844,0.510359,0.513391,0.402229,0.495628,0.474464,0.800065,0.514360,0.531881,0.721296,0.525392,0.427278,0.581643,0.642912,0.600706,0.820706,0.658067,0.370221,0.795792,0.713983,0.782557,0.885649,0.720043,0.203306,0.840920,0.542563,0.766773,0.857363,0.568409,0.227418,0.683122,0.950105,0.560643,0.365930,0.948074,0.406937,0.488812,0.711853,0.766450,0.036520,0.660006,0.356284,0.036713,0.535692,0.732272,0.038122,0.573119,0.227473,0.108817
1.0,0.538059,0.482471,0.758360,0.490951,0.512763,0.511873,0.511260,0.456699,0.732172,0.520631,0.558895,0.775386,0.538816,0.426053,0.552597,0.654565,0.620935,0.852519,0.639039,0.380577,0.805061,0.725199,0.790308,0.884547,0.723176,0.210622,0.849532,0.540231,0.765928,0.847259,0.544582,0.226515,0.678425,0.916155,0.553095,0.384946,0.908441,0.409071,0.477384,0.716610,0.767697,0.035523,0.687014,0.345105,0.036779,0.564629,0.734966,0.036193,0.573667,0.230315,0.145302
1.0,0.516957,0.493765,0.668329,0.510357,0.514142,0.592187,0.507292,0.479226,0.746300,0.518206,0.544947,0.798369,0.530702,0.439596,0.676892,0.655844,0.602980,0.835142,0.638413,0.377264,0.806572,0.711196,0.788559,0.866472,0.700897,0.197104,0.677831,0.555130,0.731135,0.841130,0.555236,0.234262,0.805646,0.945289,0.572483,0.455260,0.944851,0.398542,0.453412,0.726955,0.786451,0.035152,0.684408,0.363938,0.028125,0.563597,0.734392,0.038461,0.559015,0.228040,0.077633
1.0,0.527860,0.500330,0.724832,0.513777,0.525549,0.511842,0.518231,0.466786,0.731538,0.524033,0.547607,0.765985,0.529173,0.427091,0.651767,0.639262,0.628089,0.811850,0.638931,0.368592,0.783040,0.688030,0.774196,0.817563,0.695382,0.189118,0.798751,0.521986,0.761594,0.809752,0.503450,0.245042,0.679092,0.950510,0.557119,0.406806,0.938952,0.393754,0.469960,0.696799,0.801855,0.031244,0.650412,0.342359,0.032785,0.528997,0.765780,0.041629,0.517972,0.236225,0.129481
1.0,0.513287,0.498573,0.782505,0.505252,0.516767,0.467934,0.491488,0.467177,0.728979,0.514279,0.535109,0.786535,0.514340,0.432248,0.565561,0.637505,0.616032,0.803376,0.661461,0.381584,0.822711,0.629042,0.801387,0.743739,0.639026,0.199419,0.902992,0.475557,0.753289,0.781040,0.459882,0.244776,0.740197,0.945526,0.548339,0.422858,0.913500,0.399459,0.361088,0.610784,0.785320,0.013372,0.651963,0.206421,0.041882,0.658978,0.604763,0.009481,0.590903,0.481902,0.018242
1.0,0.536479,0.474137,0.729221,0.494509,0.516881,0.734205,0.507423,0.454089,0.767539,0.510139,0.558404,0.720568,0.515612,0.426891,0.647921,0.642426,0.614174,0.747959,0.630610,0.383994,0.782131,0.561885,0.788340,0.725371,0.574711,0.216682,0.878953,0.411363,0.728065,0.748025,0.422832,0.252889,0.766577,0.900710,0.574590,0.475531,0.941631,0.410356,0.398386,0.647875,0.686848,0.020170,0.767828,0.340244,0.026026,0.426300,0.738933,0.057618,0.582382,0.484927,0.014610
1.0,0.524501,0.491467,0.703606,0.510602,0.505902,0.737796,0.496574,0.459314,0.769272,0.504249,0.533737,0.744890,0.523163,0.442205,0.646085,0.619925,0.595595,0.619023,0.626381,0.383643,0.826228,0.500176,0.724124,0.916061,0.519341,0.246074,0.849543,0.359494,0.721479,0.860870,0.361505,0.268939,0.847191,0.892556,0.570564,0.520861,0.879310,0.417738,0.532674,0.588013,0.727912,0.007910,0.666359,0.360640,0.006996,0.355776,0.692906,0.061986,0.372613,0.272665,0.071572
