label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
1.0,0.519322,0.514081,0.636404,0.498628,0.537335,0.743807,0.495224,0.489915,0.706824,0.522208,0.566432,0.513965,0.517736,0.456890,0.749021,0.642406,0.632873,0.732032,0.635410,0.392317,0.839854,0.686529,0.808515,0.823544,0.676546,0.208931,0.822751,0.513665,0.765405,0.793939,0.522497,0.251347,0.754803,0.934166,0.595805,0.458967,0.928960,0.439276,0.468119,0.765131,0.656221,0.009793,0.712288,0.236174,0.026301,0.525978,0.770516,0.037904,0.526143,0.253457,0.106755
1.0,0.521377,0.513615,0.676435,0.500320,0.537912,0.733455,0.496523,0.490518,0.671652,0.524096,0.566222,0.532768,0.518444,0.457507,0.748242,0.643991,0.634106,0.785650,0.637049,0.393288,0.834018,0.703578,0.804139,0.893133,0.696766,0.209359,0.770207,0.538051,0.768715,0.650316,0.537203,0.254679,0.741257,0.932941,0.599720,0.283012,0.924619,0.448899,0.468149,0.670587,0.646847,0.035832,0.712337,0.211145,0.029604,0.547890,0.772316,0.036143,0.542392,0.255526,0.063871
1.0,0.523813,0.511903,0.742211,0.502753,0.537618,0.607782,0.498743,0.489121,0.806674,0.526371,0.566008,0.610192,0.519699,0.456599,0.713714,0.645773,0.632221,0.778665,0.642275,0.396272,0.813127,0.718516,0.797661,0.794270,0.706649,0.210394,0.726597,0.549164,0.764977,0.857693,0.546612,0.251657,0.760228,0.935676,0.600878,0.266838,0.928547,0.448970,0.422232,0.670299,0.646399,0.041949,0.718988,0.213934,0.031977,0.563269,0.769571,0.043712,0.550325,0.253511,0.051230
1.0,0.525726,0.511195,0.731532,0.504377,0.537463,0.540690,0.500566,0.488304,0.833799,0.527432,0.566315,0.623143,0.521053,0.456791,0.713345,0.646259,0.633248,0.753898,0.643951,0.397627,0.804281,0.726771,0.796652,0.668679,0.707092,0.215848,0.824753,0.552886,0.764895,0.685318,0.549768,0.253125,0.599690,0.934832,0.607458,0.258732,0.928797,0.448447,0.384064,0.679786,0.658006,0.039002,0.719866,0.216248,0.048280,0.563539,0.766495,0.041456,0.552796,0.252576,0.063497
1.0,0.527275,0.509604,0.730881,0.506295,0.536524,0.555240,0.501698,0.487271,0.843576,0.529179,0.565544,0.676863,0.522128,0.455892,0.673262,0.646257,0.630394,0.794996,0.644700,0.394541,0.798507,0.732274,0.794042,0.784578,0.713315,0.216643,0.824870,0.556240,0.765764,0.709322,0.552651,0.250177,0.697415,0.932202,0.601474,0.365257,0.924079,0.445425,0.488084,0.759655,0.668227,0.033146,0.728827,0.215024,0.024395,0.566613,0.770435,0.041759,0.554834,0.250701,0.085904
1.0,0.527398,0.508254,0.744844,0.506258,0.535068,0.402229,0.502371,0.486279,0.800065,0.528368,0.562263,0.721296,0.522504,0.454679,0.581643,0.646237,0.628259,0.820706,0.644236,0.392647,0.795792,0.731609,0.793449,0.885649,0.708185,0.213828,0.840920,0.555784,0.767379,0.857363,0.547692,0.247031,0.683122,0.930683,0.602455,0.365930,0.923001,0.445280,0.488812,0.677824,0.649485,0.036520,0.719389,0.214650,0.036713,0.565956,0.772321,0.038122,0.551327,0.249027,0.108817
1.0,0.525298,0.504631,0.758360,0.504876,0.532719,0.511873,0.500784,0.483191,0.732172,0.527901,0.561191,0.775386,0.520719,0.452980,0.552597,0.645542,0.626017,0.852519,0.642634,0.390813,0.805061,0.731802,0.793565,0.884547,0.709341,0.210378,0.849532,0.555405,0.767830,0.847259,0.548816,0.246837,0.678425,0.929442,0.599520,0.384946,0.920947,0.440090,0.477384,0.676741,0.649041,0.035523,0.720857,0.211113,0.036779,0.565792,0.772882,0.036193,0.552221,0.248849,0.145302
1.0,0.527016,0.502444,0.668329,0.506191,0.530139,0.592187,0.501840,0.481358,0.746300,0.528599,0.562193,0.798369,0.521210,0.451878,0.676892,0.646013,0.626849,0.835142,0.642873,0.391729,0.806572,0.720670,0.800349,0.866472,0.702523,0.204780,0.677831,0.552244,0.771063,0.841130,0.544225,0.246740,0.805646,0.934321,0.598099,0.455260,0.934074,0.440173,0.453412,0.669201,0.644900,0.035152,0.714778,0.209466,0.028125,0.566134,0.775560,0.038461,0.548229,0.250811,0.077633
1.0,0.523754,0.503071,0.724832,0.503748,0.529277,0.511842,0.499436,0.481899,0.731538,0.529100,0.562800,0.765985,0.519408,0.452345,0.651767,0.646291,0.629810,0.811850,0.637561,0.388242,0.783040,0.685875,0.810211,0.817563,0.670200,0.205003,0.798751,0.514331,0.759763,0.809752,0.522088,0.249833,0.679092,0.947077,0.596245,0.406806,0.935445,0.439123,0.469960,0.670514,0.647117,0.031244,0.683382,0.203657,0.032785,0.524604,0.764740,0.041629,0.525354,0.251691,0.129481
1.0,0.523432,0.508646,0.782505,0.502792,0.533171,0.467934,0.498339,0.484653,0.728979,0.528378,0.561383,0.786535,0.520093,0.452470,0.565561,0.642481,0.629376,0.803376,0.634833,0.390223,0.822711,0.629857,0.805773,0.743739,0.612640,0.202269,0.902992,0.473111,0.759704,0.781040,0.469598,0.257071,0.740197,0.937079,0.596225,0.422858,0.930797,0.437505,0.361088,0.652829,0.799373,0.013372,0.627962,0.202894,0.041882,0.601756,0.508240,0.009481,0.644223,0.396136,0.018242
