label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
1.0,0.507047,0.503338,0.636404,0.485234,0.534222,0.743807,0.504407,0.484130,0.706824,0.512028,0.550251,0.513965,0.524008,0.463198,0.749021,0.647125,0.645392,0.732032,0.619461,0.381309,0.839854,0.672575,0.787864,0.823544,0.680035,0.202960,0.822751,0.519693,0.760124,0.793939,0.524758,0.249656,0.754803,0.942029,0.602174,0.458967,0.955545,0.449468,0.468119,0.780988,0.646284,0.009793,0.695045,0.240672,0.026301,0.529242,0.781008,0.037904,0.539957,0.255830,0.106755
1.0,0.517342,0.507636,0.676435,0.501404,0.536101,0.733455,0.499205,0.479606,0.671652,0.520695,0.556937,0.532768,0.517090,0.444609,0.748242,0.630009,0.630828,0.785650,0.627712,0.394881,0.834018,0.701444,0.825898,0.893133,0.676491,0.210806,0.770207,0.524021,0.761821,0.650316,0.525792,0.259964,0.741257,0.921252,0.616246,0.283012,0.945962,0.450487,0.468149,0.684592,0.632154,0.035832,0.723259,0.206115,0.029604,0.545532,0.782119,0.036143,0.550358,0.261843,0.063871
1.0,0.524368,0.506751,0.742211,0.498286,0.552296,0.607782,0.507259,0.486700,0.806674,0.534138,0.569022,0.610192,0.516239,0.466196,0.713714,0.659770,0.630138,0.778665,0.644067,0.384635,0.813127,0.712384,0.785147,0.794270,0.713417,0.205183,0.726597,0.560014,0.755121,0.857693,0.549446,0.244232,0.760228,0.946272,0.613760,0.266838,0.927782,0.461221,0.422232,0.683740,0.653871,0.041949,0.739010,0.217130,0.031977,0.566272,0.779688,0.043712,0.556439,0.253857,0.051230
1.0,0.529435,0.518094,0.731532,0.492289,0.522393,0.540690,0.492578,0.476323,0.833799,0.520349,0.571456,0.623143,0.509374,0.470202,0.713345,0.644787,0.631012,0.753898,0.628289,0.391041,0.804281,0.745334,0.813275,0.668679,0.721524,0.215343,0.824753,0.565958,0.784890,0.685318,0.552144,0.251738,0.599690,0.925454,0.592302,0.258732,0.930213,0.436880,0.384064,0.695530,0.671600,0.039002,0.726413,0.209952,0.048280,0.575476,0.780153,0.041456,0.537730,0.253856,0.063497
1.0,0.515907,0.501331,0.730881,0.514949,0.520806,0.555240,0.496979,0.498140,0.843576,0.522415,0.573344,0.676863,0.511851,0.467357,0.673262,0.640797,0.615851,0.794996,0.635443,0.387450,0.798507,0.742785,0.782850,0.784578,0.721466,0.215463,0.824870,0.552720,0.771956,0.709322,0.561023,0.256044,0.697415,0.944172,0.609456,0.365257,0.915163,0.454153,0.488084,0.759290,0.683588,0.033146,0.739172,0.213114,0.024395,0.551014,0.751699,0.041759,0.563759,0.253669,0.085904
1.0,0.512951,0.509695,0.744844,0.512613,0.548988,0.402229,0.511070,0.500141,0.800065,0.519679,0.563926,0.721296,0.506867,0.446895,0.581643,0.657053,0.634920,0.820706,0.636684,0.392138,0.795792,0.722530,0.787037,0.885649,0.729161,0.216837,0.840920,0.556381,0.783765,0.857363,0.560304,0.246986,0.683122,0.933838,0.586047,0.365930,0.923408,0.443211,0.488812,0.670034,0.655870,0.036520,0.719458,0.211233,0.036713,0.561117,0.790286,0.038122,0.558253,0.244196,0.108817
1.0,0.515686,0.495243,0.758360,0.489866,0.532731,0.511873,0.511872,0.491835,0.732172,0.526215,0.553094,0.775386,0.525822,0.447533,0.552597,0.654366,0.630150,0.852519,0.640848,0.386625,0.805061,0.725159,0.806576,0.884547,0.702716,0.208943,0.849532,0.552162,0.789937,0.847259,0.561736,0.244293,0.678425,0.927194,0.589384,0.384946,0.946582,0.445540,0.477384,0.675828,0.640957,0.035523,0.736477,0.214589,0.036779,0.548865,0.776845,0.036193,0.558922,0.248326,0.145302
1.0,0.538066,0.492776,0.668329,0.518046,0.516934,0.592187,0.487658,0.472415,0.746300,0.542349,0.566672,0.798369,0.521365,0.449552,0.676892,0.658917,0.615968,0.835142,0.633623,0.383215,0.806572,0.734229,0.788035,0.866472,0.696266,0.202990,0.677831,0.548928,0.784295,0.841130,0.558288,0.253023,0.805646,0.907661,0.587636,0.455260,0.907524,0.447419,0.453412,0.654029,0.638181,0.035152,0.722525,0.206383,0.028125,0.578896,0.769330,0.038461,0.556426,0.252011,0.077633
1.0,0.520727,0.490320,0.724832,0.495652,0.532741,0.511842,0.507170,0.482477,0.731538,0.520788,0.552266,0.765985,0.508013,0.452699,0.651767,0.665163,0.616539,0.811850,0.633053,0.397981,0.783040,0.667408,0.814138,0.817563,0.657462,0.201683,0.798751,0.522547,0.756374,0.809752,0.525452,0.245592,0.679092,0.938576,0.581498,0.406806,0.960453,0.436566,0.469960,0.666140,0.641803,0.031244,0.703372,0.205702,0.032785,0.509184,0.774211,0.041629,0.525962,0.247382,0.129481
1.0,0.508606,0.513867,0.782505,0.492221,0.531719,0.467934,0.489588,0.471718,0.728979,0.523259,0.565099,0.786535,0.532681,0.462432,0.565561,0.623860,0.643251,0.803376,0.642587,0.378742,0.822711,0.618026,0.807714,0.743739,0.625976,0.207304,0.902992,0.461667,0.740310,0.781040,0.474131,0.259718,0.740197,0.933645,0.587160,0.422858,0.944418,0.428291,0.361088,0.658184,0.779431,0.013372,0.640545,0.204504,0.041882,0.602747,0.520678,0.009481,0.626195,0.405158,0.018242
