label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
0.0,0.252448,0.487549,0.642406,0.231353,0.519056,0.593365,0.238604,0.470530,0.514812,0.244389,0.518652,0.630124,0.251586,0.466951,0.755356,0.311233,0.547314,0.790198,0.303838,0.425103,0.683290,0.428739,0.619701,0.811910,0.439903,0.381775,0.785701,0.327756,0.625765,0.529955,0.348209,0.378854,0.741121,0.499535,0.528027,0.783163,0.524976,0.468977,0.820779,0.622252,0.620813,0.782485,0.649438,0.401681,0.625314,0.725093,0.601507,0.607181,0.748887,0.430308,0.800192
0.0,0.255440,0.493587,0.663414,0.231425,0.510407,0.612889,0.235196,0.484995,0.567544,0.250670,0.534022,0.657258,0.252498,0.465712,0.770054,0.295405,0.554383,0.794960,0.306669,0.421311,0.778127,0.412524,0.591286,0.787854,0.426589,0.376163,0.772408,0.329402,0.630283,0.570548,0.336381,0.373697,0.604194,0.515992,0.538383,0.773392,0.526379,0.447069,0.819747,0.610262,0.596893,0.775809,0.632668,0.419174,0.618622,0.719431,0.601624,0.610080,0.720716,0.432695,0.806063
0.0,0.258071,0.508526,0.666774,0.236310,0.505379,0.644385,0.246091,0.486334,0.558615,0.250820,0.544102,0.631625,0.258894,0.460015,0.781823,0.303019,0.573210,0.787254,0.307037,0.426966,0.678581,0.421837,0.598838,0.822980,0.431224,0.398445,0.738577,0.338077,0.611712,0.446691,0.334420,0.378593,0.699243,0.521011,0.545611,0.759784,0.512627,0.466789,0.829333,0.628559,0.599622,0.876929,0.631327,0.412964,0.626968,0.730687,0.574787,0.578510,0.723335,0.434731,0.824363
0.0,0.257248,0.487304,0.674477,0.235114,0.503854,0.632461,0.241252,0.477235,0.573912,0.252311,0.533812,0.643172,0.257052,0.459840,0.773223,0.313114,0.549194,0.772398,0.321140,0.424547,0.717758,0.420135,0.604100,0.827924,0.437857,0.382439,0.718370,0.345691,0.628464,0.441956,0.334466,0.384901,0.708596,0.510065,0.520016,0.760543,0.521484,0.468239,0.819358,0.607886,0.620022,0.879329,0.629859,0.412550,0.594096,0.712197,0.604515,0.564616,0.707716,0.440737,0.827866
0.0,0.253669,0.492167,0.671224,0.238518,0.500667,0.663474,0.232273,0.468423,0.573697,0.243685,0.535373,0.663851,0.252865,0.462577,0.770098,0.318952,0.566733,0.629772,0.317397,0.439774,0.762986,0.423908,0.595498,0.839239,0.416173,0.389012,0.840312,0.336570,0.611725,0.566895,0.339456,0.357710,0.718400,0.513848,0.550006,0.766980,0.509565,0.443956,0.836781,0.601327,0.622220,0.854802,0.651685,0.415738,0.564521,0.715587,0.574814,0.605792,0.710099,0.424701,0.846588
0.0,0.254850,0.501284,0.612284,0.236163,0.501957,0.654956,0.234368,0.470773,0.537862,0.251073,0.522480,0.614382,0.257734,0.458387,0.765649,0.303408,0.564200,0.708004,0.327064,0.440028,0.849658,0.402042,0.628227,0.844167,0.400944,0.365364,0.893345,0.310590,0.615595,0.491770,0.321237,0.351115,0.811670,0.503198,0.541493,0.778691,0.526591,0.456325,0.838670,0.606306,0.597863,0.857883,0.628427,0.406704,0.789286,0.722578,0.600539,0.616076,0.714922,0.434631,0.820840
0.0,0.250605,0.501513,0.623550,0.229829,0.503412,0.698892,0.231711,0.466202,0.612451,0.247121,0.524776,0.716122,0.251272,0.460898,0.760906,0.311454,0.564044,0.744799,0.321782,0.445002,0.876655,0.373273,0.637558,0.925220,0.387968,0.361198,0.856725,0.277581,0.657172,0.769788,0.290023,0.350469,0.767096,0.520208,0.529395,0.712436,0.507551,0.450828,0.828062,0.617833,0.602789,0.850365,0.642528,0.406691,0.541233,0.739895,0.578315,0.655892,0.739747,0.435695,0.823872
0.0,0.253194,0.508665,0.532759,0.228987,0.519144,0.677343,0.242232,0.493377,0.637991,0.245177,0.533245,0.664725,0.251582,0.462629,0.793567,0.311889,0.553271,0.733921,0.323153,0.432938,0.897636,0.349668,0.666059,0.937846,0.353264,0.333244,0.805095,0.244270,0.646406,0.773969,0.253485,0.340844,0.841309,0.518225,0.529966,0.687027,0.525866,0.456340,0.819545,0.615199,0.602743,0.847615,0.622837,0.412532,0.630530,0.724928,0.605343,0.678964,0.740043,0.429204,0.834895
0.0,0.254026,0.500052,0.518550,0.240596,0.505815,0.700953,0.238354,0.477483,0.684593,0.255220,0.539715,0.500364,0.246062,0.475456,0.776281,0.303655,0.563001,0.738388,0.310249,0.428533,0.854738,0.321472,0.653504,0.926490,0.327766,0.318980,0.882832,0.224648,0.663290,0.693817,0.225221,0.332976,0.704182,0.512646,0.527491,0.725630,0.528488,0.444741,0.856052,0.610041,0.593642,0.738268,0.650390,0.411166,0.627982,0.739424,0.584936,0.700613,0.722391,0.427631,0.874196
0.0,0.251332,0.509526,0.552433,0.240614,0.522557,0.701090,0.232952,0.495916,0.645006,0.246159,0.529261,0.530834,0.259034,0.453170,0.798681,0.307818,0.554026,0.791841,0.317702,0.450200,0.838790,0.301020,0.641114,0.881558,0.314866,0.325461,0.869507,0.204388,0.660313,0.834238,0.206149,0.333110,0.771351,0.513701,0.554274,0.774388,0.519595,0.460892,0.867308,0.631947,0.599939,0.731435,0.630086,0.409556,0.613288,0.720662,0.602992,0.678395,0.731730,0.441708,0.814394
