label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
0.0,0.256741,0.494974,0.642406,0.237836,0.525841,0.593365,0.240055,0.492922,0.514812,0.245377,0.526990,0.630124,0.238983,0.479664,0.755356,0.318624,0.583127,0.790198,0.309821,0.443640,0.683290,0.442898,0.600989,0.811910,0.421312,0.405273,0.785701,0.345375,0.614679,0.529955,0.341267,0.385621,0.741121,0.524330,0.551806,0.783163,0.521192,0.470753,0.820779,0.652285,0.573532,0.782485,0.615661,0.398591,0.625314,0.734571,0.551175,0.607181,0.743747,0.418573,0.800192
0.0,0.257587,0.495465,0.663414,0.244363,0.512075,0.612889,0.238357,0.475395,0.567544,0.255159,0.537164,0.657258,0.245355,0.469422,0.770054,0.313004,0.559067,0.794960,0.308629,0.448562,0.778127,0.423501,0.611973,0.787854,0.417877,0.407152,0.772408,0.331583,0.625524,0.570548,0.328608,0.364018,0.604194,0.505658,0.552726,0.773392,0.496091,0.466267,0.819747,0.635600,0.575120,0.775809,0.626324,0.395911,0.618622,0.741271,0.559841,0.610080,0.748856,0.410925,0.806063
0.0,0.249346,0.491776,0.666774,0.242420,0.509057,0.644385,0.243849,0.500446,0.558615,0.249063,0.546800,0.631625,0.251989,0.457003,0.781823,0.309466,0.556228,0.787254,0.304174,0.442139,0.678581,0.428257,0.627275,0.822980,0.413801,0.390798,0.738577,0.337757,0.625535,0.446691,0.336230,0.373115,0.699243,0.504099,0.554398,0.759784,0.506148,0.468531,0.829333,0.616760,0.600771,0.876929,0.628040,0.392368,0.626968,0.746462,0.568509,0.578510,0.736867,0.409741,0.824363
0.0,0.250260,0.490164,0.674477,0.234340,0.526587,0.632461,0.236277,0.479618,0.573912,0.249859,0.538086,0.643172,0.241825,0.470539,0.773223,0.317019,0.580131,0.772398,0.308656,0.451733,0.717758,0.443987,0.613068,0.827924,0.417464,0.408680,0.718370,0.338826,0.634256,0.441956,0.333429,0.373252,0.708596,0.517019,0.537883,0.760543,0.500720,0.459827,0.819358,0.641243,0.578342,0.879329,0.600700,0.393762,0.594096,0.721546,0.580353,0.564616,0.744590,0.416506,0.827866
0.0,0.249022,0.506671,0.671224,0.240762,0.530383,0.663474,0.244809,0.491547,0.573697,0.253346,0.545921,0.663851,0.245182,0.461855,0.770098,0.320461,0.555517,0.629772,0.316424,0.437341,0.762986,0.428338,0.621554,0.839239,0.423696,0.385158,0.840312,0.334940,0.621947,0.566895,0.329070,0.368498,0.718400,0.510910,0.551845,0.766980,0.505027,0.476492,0.836781,0.629552,0.583814,0.854802,0.606550,0.403990,0.564521,0.733236,0.579638,0.605792,0.739542,0.405864,0.846588
0.0,0.257298,0.504725,0.612284,0.236090,0.505942,0.654956,0.244402,0.482480,0.537862,0.251438,0.526442,0.614382,0.252263,0.463905,0.765649,0.316969,0.574341,0.708004,0.312090,0.446932,0.849658,0.410457,0.619860,0.844167,0.409351,0.367928,0.893345,0.309145,0.634552,0.491770,0.302346,0.375516,0.811670,0.526177,0.529574,0.778691,0.516634,0.451742,0.838670,0.632640,0.578963,0.857883,0.623215,0.387832,0.789286,0.730290,0.572184,0.616076,0.719034,0.408520,0.820840
0.0,0.249623,0.499294,0.623550,0.237730,0.513607,0.698892,0.236944,0.486759,0.612451,0.257078,0.540883,0.716122,0.242246,0.482131,0.760906,0.313408,0.574176,0.744799,0.317558,0.436372,0.876655,0.391955,0.644137,0.925220,0.380155,0.360741,0.856725,0.278873,0.635798,0.769788,0.284627,0.353160,0.767096,0.527221,0.535958,0.712436,0.502374,0.456244,0.828062,0.657936,0.589029,0.850365,0.624453,0.391363,0.541233,0.710951,0.577948,0.655892,0.725616,0.419522,0.823872
0.0,0.255317,0.506359,0.532759,0.231857,0.529413,0.677343,0.239305,0.497303,0.637991,0.252099,0.537452,0.664725,0.249462,0.457519,0.793567,0.319740,0.557130,0.733921,0.310631,0.445507,0.897636,0.349002,0.642280,0.937846,0.344956,0.356620,0.805095,0.255197,0.637471,0.773969,0.255130,0.345902,0.841309,0.532299,0.543889,0.687027,0.502589,0.454965,0.819545,0.632302,0.590049,0.847615,0.628684,0.402888,0.630530,0.729608,0.578381,0.678964,0.732577,0.420351,0.834895
0.0,0.259072,0.508817,0.518550,0.232822,0.520328,0.700953,0.242435,0.477372,0.684593,0.257104,0.525801,0.500364,0.249622,0.458602,0.776281,0.314803,0.564644,0.738388,0.298502,0.444629,0.854738,0.321502,0.662915,0.926490,0.319529,0.355321,0.882832,0.223570,0.672798,0.693817,0.224383,0.346607,0.704182,0.518191,0.548816,0.725630,0.513328,0.465689,0.856052,0.633008,0.595838,0.738268,0.618836,0.383591,0.627982,0.722296,0.555203,0.700613,0.738255,0.413821,0.874196
0.0,0.248497,0.509357,0.552433,0.245414,0.504735,0.701090,0.239272,0.483211,0.645006,0.259082,0.540920,0.530834,0.250553,0.455456,0.798681,0.304103,0.571934,0.791841,0.307776,0.425159,0.838790,0.312192,0.647698,0.881558,0.293788,0.339048,0.869507,0.206902,0.657995,0.834238,0.195867,0.328531,0.771351,0.508172,0.554830,0.774388,0.523259,0.451457,0.867308,0.630365,0.571344,0.731435,0.618581,0.394237,0.613288,0.725969,0.551420,0.678395,0.731226,0.404378,0.814394
