label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
0.0,0.254932,0.502145,0.642406,0.237810,0.518943,0.593365,0.237394,0.488195,0.514812,0.250977,0.538759,0.630124,0.245441,0.467471,0.755356,0.311766,0.573166,0.790198,0.304027,0.442924,0.683290,0.432473,0.613637,0.811910,0.423696,0.397380,0.785701,0.338550,0.625381,0.529955,0.336498,0.377211,0.741121,0.512802,0.541962,0.783163,0.507872,0.463731,0.820779,0.638637,0.586044,0.782485,0.608867,0.394041,0.625314,0.727434,0.566012,0.607181,0.732058,0.411006,0.800192
0.0,0.256198,0.502038,0.663414,0.239264,0.518870,0.612889,0.238511,0.487973,0.567544,0.252044,0.538626,0.657258,0.245879,0.467002,0.770054,0.309567,0.575084,0.794960,0.303241,0.441895,0.778127,0.432506,0.613504,0.787854,0.424303,0.398627,0.772408,0.329925,0.623333,0.570548,0.336790,0.372899,0.604194,0.512376,0.543798,0.773392,0.507418,0.464526,0.819747,0.638306,0.586350,0.775809,0.609745,0.393306,0.618622,0.727129,0.566209,0.610080,0.730927,0.411215,0.806063
0.0,0.255678,0.502505,0.666774,0.239098,0.519451,0.644385,0.238048,0.488513,0.558615,0.252627,0.537706,0.631625,0.246251,0.467210,0.781823,0.311756,0.571235,0.787254,0.306284,0.442490,0.678581,0.436339,0.611299,0.822980,0.426473,0.397368,0.738577,0.339632,0.625439,0.446691,0.338096,0.370457,0.699243,0.512967,0.544203,0.759784,0.508440,0.464902,0.829333,0.635691,0.586719,0.876929,0.613435,0.394265,0.626968,0.725691,0.566061,0.578510,0.732461,0.411869,0.824363
0.0,0.254831,0.503137,0.674477,0.238268,0.520059,0.632461,0.237133,0.488953,0.573912,0.252238,0.538373,0.643172,0.245379,0.467608,0.773223,0.313540,0.570991,0.772398,0.307312,0.442447,0.717758,0.435358,0.610347,0.827924,0.426347,0.397880,0.718370,0.339627,0.625870,0.441956,0.337778,0.368647,0.708596,0.514117,0.543674,0.760543,0.508684,0.464801,0.819358,0.634971,0.587092,0.879329,0.613882,0.394294,0.594096,0.726393,0.566581,0.564616,0.732755,0.412098,0.827866
0.0,0.254068,0.503588,0.671224,0.238565,0.519661,0.663474,0.237958,0.489611,0.573697,0.252158,0.538439,0.663851,0.247231,0.468787,0.770098,0.314952,0.571005,0.629772,0.310197,0.441839,0.762986,0.421669,0.620269,0.839239,0.416604,0.390972,0.840312,0.334138,0.632309,0.566895,0.338733,0.369795,0.718400,0.513832,0.544099,0.766980,0.509383,0.464245,0.836781,0.635443,0.587342,0.854802,0.612346,0.394169,0.564521,0.727331,0.566179,0.605792,0.731262,0.411311,0.846588
0.0,0.253454,0.502184,0.612284,0.238150,0.517332,0.654956,0.237546,0.489089,0.537862,0.251889,0.535880,0.614382,0.246286,0.468526,0.765649,0.321399,0.567262,0.708004,0.310399,0.440768,0.849658,0.411522,0.632569,0.844167,0.405428,0.379183,0.893345,0.316535,0.646176,0.491770,0.310697,0.368009,0.811670,0.515628,0.544627,0.778691,0.510897,0.463543,0.838670,0.635908,0.589484,0.857883,0.613954,0.393597,0.789286,0.728636,0.565073,0.616076,0.732690,0.410774,0.820840
0.0,0.251667,0.504613,0.623550,0.238425,0.520288,0.698892,0.236302,0.490937,0.612451,0.251331,0.538496,0.716122,0.245668,0.468631,0.760906,0.321836,0.565586,0.744799,0.312731,0.436724,0.876655,0.387002,0.643940,0.925220,0.383684,0.364223,0.856725,0.282402,0.650351,0.769788,0.283573,0.359103,0.767096,0.519975,0.545886,0.712436,0.513179,0.460601,0.828062,0.639854,0.585333,0.850365,0.614225,0.392586,0.541233,0.726848,0.565954,0.655892,0.732570,0.409592,0.823872
0.0,0.250938,0.502416,0.532759,0.238634,0.518402,0.677343,0.235654,0.488842,0.637991,0.252698,0.537723,0.664725,0.244883,0.468487,0.793567,0.317329,0.565743,0.733921,0.308525,0.432783,0.897636,0.359735,0.660040,0.937846,0.351383,0.352537,0.805095,0.253967,0.650478,0.773969,0.249604,0.345907,0.841309,0.518657,0.546442,0.687027,0.511237,0.461784,0.819545,0.636304,0.585720,0.847615,0.614965,0.392405,0.630530,0.726652,0.566446,0.678964,0.732446,0.409772,0.834895
0.0,0.253392,0.500204,0.518550,0.239116,0.515943,0.700953,0.238640,0.486652,0.684593,0.251463,0.538358,0.500364,0.247913,0.470416,0.776281,0.314038,0.568597,0.738388,0.306723,0.431968,0.854738,0.330570,0.675033,0.926490,0.324704,0.349147,0.882832,0.221759,0.661704,0.693817,0.221195,0.337439,0.704182,0.520408,0.543469,0.725630,0.513434,0.461125,0.856052,0.634380,0.586460,0.738268,0.612224,0.392315,0.627982,0.726137,0.566985,0.700613,0.733679,0.410158,0.874196
0.0,0.253633,0.500990,0.552433,0.239589,0.516768,0.701090,0.238517,0.487093,0.645006,0.252755,0.537544,0.530834,0.247318,0.469146,0.798681,0.313123,0.562472,0.791841,0.308687,0.433203,0.838790,0.307491,0.667527,0.881558,0.297702,0.339819,0.869507,0.203079,0.657720,0.834238,0.198927,0.335502,0.771351,0.521919,0.542812,0.774388,0.516960,0.460708,0.867308,0.635910,0.586632,0.731435,0.613657,0.392240,0.613288,0.725733,0.565558,0.678395,0.735484,0.411067,0.814394
0.0,0.255187,0.502354,0.637807,0.241222,0.517216,0.722894,0.240813,0.488001,0.608378,0.252921,0.536523,0.517155,0.248414,0.470646,0.801492,0.309955,0.564397,0.742307,0.306411,0.434804,0.802113,0.284234,0.666297,0.786541,0.282507,0.341714,0.913319,0.180613,0.651996,0.707881,0.178227,0.342340,0.776088,0.521352,0.542190,0.796806,0.516037,0.459372,0.875035,0.639421,0.586460,0.666380,0.614894,0.391788,0.621347,0.730691,0.565522,0.675032,0.735448,0.410413,0.824073
0.0,0.257396,0.502287,0.682229,0.243040,0.517254,0.728737,0.242930,0.487866,0.645832,0.252609,0.537949,0.529021,0.248792,0.471260,0.803360,0.309352,0.570005,0.738265,0.307136,0.435892,0.830505,0.263753,0.662869,0.717660,0.270786,0.345266,0.915872,0.160297,0.651386,0.744276,0.163517,0.340506,0.701132,0.522268,0.542144,0.805935,0.516290,0.458744,0.877435,0.640617,0.585457,0.850054,0.620889,0.392023,0.657771,0.731886,0.564387,0.644912,0.736101,0.412552,0.813097
0.0,0.258027,0.502944,0.717739,0.244163,0.518345,0.743968,0.243694,0.488256,0.682001,0.254110,0.538739,0.631722,0.251519,0.470300,0.835491,0.310408,0.570133,0.697440,0.308536,0.438623,0.838234,0.254663,0.659792,0.911760,0.255685,0.353710,0.654537,0.152220,0.646157,0.803560,0.152855,0.349176,0.744575,0.520379,0.543794,0.771461,0.514973,0.460059,0.873225,0.643817,0.584152,0.833264,0.621082,0.392413,0.697137,0.732835,0.565322,0.606435,0.736999,0.413804,0.802987
0.0,0.261441,0.501503,0.633434,0.246595,0.517399,0.728972,0.245893,0.487363,0.657686,0.256023,0.538634,0.675549,0.253458,0.471165,0.857530,0.310114,0.568989,0.706214,0.309675,0.439193,0.825857,0.246501,0.653096,0.863412,0.251368,0.354491,0.861560,0.147354,0.637991,0.799762,0.144133,0.353022,0.759856,0.518167,0.543762,0.752127,0.513299,0.460112,0.875898,0.640749,0.585965,0.845424,0.621749,0.392749,0.683156,0.732838,0.565966,0.623035,0.737712,0.413101,0.826263
0.0,0.261752,0.500493,0.421106,0.247279,0.517773,0.747263,0.246589,0.487294,0.650849,0.255949,0.538377,0.694071,0.253581,0.470869,0.859535,0.309817,0.568540,0.719243,0.310036,0.439507,0.810459,0.237811,0.648612,0.749370,0.247769,0.359103,0.679652,0.130979,0.634099,0.729827,0.139611,0.353550,0.763299,0.518933,0.543741,0.757245,0.513955,0.460665,0.879966,0.640223,0.586438,0.830275,0.623401,0.392402,0.661809,0.734085,0.565736,0.628979,0.738519,0.412856,0.840521
0.0,0.261021,0.501806,0.702093,0.247681,0.518437,0.733640,0.246887,0.488230,0.659444,0.256837,0.536375,0.711187,0.254795,0.471876,0.869420,0.308417,0.567003,0.687897,0.311488,0.442702,0.608985,0.232389,0.637842,0.936296,0.237388,0.364601,0.893014,0.129607,0.630961,0.767138,0.134899,0.362606,0.817523,0.518227,0.543128,0.755589,0.513557,0.460691,0.880499,0.641887,0.586036,0.799074,0.624720,0.391441,0.665515,0.733801,0.564823,0.585883,0.740571,0.413079,0.792974
0.0,0.261857,0.500506,0.427074,0.247398,0.515938,0.654632,0.247718,0.486919,0.417570,0.257574,0.532658,0.770111,0.256031,0.470254,0.843671,0.308758,0.566427,0.675868,0.309783,0.442021,0.632562,0.230505,0.633852,0.840281,0.225384,0.374498,0.824846,0.119659,0.619679,0.797580,0.118055,0.372218,0.807516,0.517890,0.541733,0.748578,0.512696,0.460025,0.879563,0.639218,0.582301,0.808538,0.623155,0.391797,0.777355,0.733939,0.564417,0.612840,0.737965,0.412786,0.796528
0.0,0.260860,0.501216,0.637244,0.247889,0.516818,0.617558,0.246649,0.485872,0.652941,0.259319,0.534285,0.755301,0.257488,0.468414,0.835875,0.309833,0.565175,0.654625,0.311936,0.444760,0.637881,0.225257,0.630290,0.743600,0.225149,0.386406,0.658241,0.120826,0.616780,0.825502,0.116657,0.389193,0.832941,0.516557,0.540516,0.726948,0.510714,0.459216,0.869542,0.646078,0.581557,0.788810,0.625115,0.391102,0.778151,0.732159,0.565455,0.767740,0.735149,0.414077,0.775615
0.0,0.263083,0.500834,0.396295,0.248583,0.516396,0.583435,0.247973,0.487141,0.414422,0.259995,0.535176,0.705249,0.255562,0.471349,0.832500,0.308059,0.565165,0.563872,0.308066,0.444538,0.625380,0.222651,0.617224,0.857435,0.225534,0.399835,0.657562,0.115141,0.606750,0.805613,0.117120,0.399541,0.681291,0.516555,0.541997,0.708264,0.510642,0.459960,0.860231,0.645594,0.582534,0.775931,0.627039,0.390899,0.738109,0.733304,0.565196,0.751573,0.736903,0.415383,0.785314
0.0,0.265954,0.501415,0.387246,0.251206,0.516280,0.504427,0.252089,0.487757,0.420413,0.261725,0.534721,0.681054,0.257439,0.469901,0.807356,0.307642,0.565113,0.815177,0.307058,0.441255,0.636869,0.219638,0.610527,0.690309,0.218325,0.407683,0.616761,0.121169,0.604058,0.683836,0.113900,0.405744,0.820909,0.516718,0.542391,0.711043,0.511075,0.460108,0.852507,0.644806,0.583814,0.762769,0.628583,0.390806,0.711926,0.733554,0.564795,0.721755,0.739165,0.415387,0.796062
0.0,0.267163,0.502391,0.537132,0.253512,0.517192,0.626141,0.254274,0.489164,0.576077,0.262772,0.534299,0.609705,0.258077,0.471725,0.783203,0.307280,0.565121,0.814256,0.306858,0.442670,0.634266,0.219503,0.607483,0.774714,0.215797,0.410251,0.621465,0.115916,0.602237,0.536039,0.115880,0.409032,0.693429,0.519586,0.542803,0.721863,0.512770,0.460043,0.870101,0.648114,0.585361,0.724683,0.630569,0.389408,0.719567,0.735259,0.562773,0.697897,0.742549,0.416525,0.779445
