label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
1.0,0.334249,0.420237,0.384867,0.323661,0.431477,0.577598,0.337920,0.430542,0.466341,0.347400,0.415813,0.369636,0.342361,0.391133,0.718751,0.368894,0.402588,0.574807,0.374229,0.394025,0.549737,0.435526,0.380378,0.439123,0.446009,0.380013,0.526076,0.511231,0.411128,0.366359,0.506746,0.390821,0.596926,0.518254,0.393742,0.579465,0.525899,0.373124,0.480862,0.624660,0.389765,0.501036,0.631164,0.397889,0.507161,0.719693,0.390003,0.577878,0.739367,0.377011,0.644844
1.0,0.357507,0.420131,0.561779,0.344216,0.443229,0.362324,0.337349,0.431254,0.422741,0.340139,0.430660,0.283419,0.359716,0.396738,0.446795,0.381594,0.400352,0.552491,0.392397,0.401604,0.484710,0.457157,0.395770,0.288146,0.467409,0.399120,0.377678,0.510925,0.431399,0.441687,0.528022,0.418902,0.472540,0.513290,0.380360,0.469246,0.519563,0.361245,0.345274,0.605459,0.398776,0.428208,0.627600,0.416497,0.486619,0.706759,0.384069,0.400787,0.737860,0.372056,0.556450
1.0,0.376232,0.437104,0.584562,0.352845,0.437181,0.522232,0.366127,0.432339,0.376439,0.365209,0.443003,0.471438,0.372587,0.418568,0.621586,0.397694,0.420289,0.592225,0.407640,0.402086,0.418120,0.485759,0.402805,0.320341,0.491302,0.398300,0.451937,0.507511,0.444931,0.518967,0.520217,0.444569,0.411530,0.534645,0.363547,0.497921,0.536026,0.373801,0.557202,0.624716,0.408051,0.465348,0.634520,0.413640,0.627347,0.722339,0.393437,0.428227,0.700658,0.373143,0.573661
1.0,0.416144,0.465854,0.427851,0.392916,0.447798,0.400011,0.400257,0.441240,0.520020,0.402484,0.424746,0.337348,0.402955,0.433625,0.601195,0.446082,0.413860,0.438591,0.430913,0.406387,0.491987,0.506021,0.426425,0.369565,0.489753,0.433503,0.477507,0.517243,0.466110,0.339237,0.539351,0.486308,0.396873,0.557720,0.364678,0.452545,0.547852,0.365973,0.527943,0.612016,0.430709,0.514219,0.641687,0.426256,0.614997,0.732062,0.398456,0.517682,0.700382,0.378105,0.389462
1.0,0.446009,0.454759,0.526192,0.435325,0.452597,0.529144,0.428893,0.458420,0.420463,0.436780,0.448368,0.301927,0.438978,0.424795,0.592897,0.460424,0.418964,0.689105,0.459972,0.429331,0.671178,0.526558,0.447660,0.402384,0.515952,0.456273,0.530525,0.558509,0.492685,0.397701,0.553619,0.499311,0.528596,0.581288,0.358174,0.539786,0.569979,0.358488,0.617585,0.618604,0.448511,0.543210,0.620223,0.450410,0.690200,0.737979,0.386248,0.501460,0.700889,0.381476,0.417985
1.0,0.467524,0.472448,0.623405,0.472145,0.478942,0.489679,0.471284,0.455945,0.548314,0.474878,0.454266,0.410553,0.480222,0.426824,0.602362,0.504234,0.428556,0.696960,0.500972,0.428755,0.504237,0.538301,0.453518,0.360717,0.544184,0.450403,0.578825,0.550047,0.525721,0.261135,0.570697,0.524603,0.513310,0.627187,0.357080,0.520042,0.616581,0.354009,0.631658,0.654242,0.440683,0.465481,0.630721,0.462790,0.601270,0.732265,0.387391,0.653241,0.730324,0.390525,0.612198
1.0,0.486667,0.478059,0.500841,0.479512,0.479279,0.498892,0.503315,0.465402,0.599226,0.501509,0.439647,0.371822,0.502844,0.444691,0.560201,0.522108,0.435184,0.691262,0.517925,0.437990,0.509571,0.577640,0.471295,0.371358,0.587378,0.455445,0.506024,0.578031,0.519893,0.409154,0.584556,0.533308,0.598481,0.618151,0.344264,0.578520,0.616926,0.343668,0.550700,0.655050,0.451227,0.503803,0.656410,0.442337,0.579360,0.740714,0.398744,0.588066,0.718018,0.399264,0.689713
1.0,0.517360,0.464055,0.570496,0.531177,0.468918,0.353367,0.512483,0.471176,0.450134,0.513802,0.445577,0.354907,0.513888,0.433590,0.521461,0.563416,0.437962,0.612299,0.537370,0.425467,0.480642,0.587980,0.476963,0.444502,0.587418,0.455665,0.431585,0.572976,0.530003,0.399165,0.585717,0.514817,0.596543,0.640528,0.363702,0.511913,0.658315,0.353724,0.580943,0.664382,0.460954,0.505153,0.638261,0.459792,0.653162,0.707969,0.403470,0.543560,0.713476,0.393230,0.542796
1.0,0.532506,0.459077,0.547897,0.529032,0.462351,0.520071,0.514074,0.447013,0.524654,0.522967,0.455577,0.317689,0.514788,0.427349,0.424022,0.564810,0.446780,0.579324,0.573376,0.439988,0.482496,0.588847,0.475245,0.389674,0.616047,0.454420,0.350963,0.597975,0.540639,0.238068,0.574760,0.514656,0.443867,0.670612,0.365598,0.506096,0.665858,0.350115,0.515992,0.662973,0.455817,0.467053,0.647552,0.438340,0.586811,0.709722,0.393569,0.506412,0.707899,0.382635,0.466809
1.0,0.545432,0.476909,0.494182,0.526363,0.458314,0.535142,0.523837,0.447468,0.626486,0.533554,0.455062,0.241576,0.532145,0.445695,0.486508,0.568793,0.446994,0.503123,0.570453,0.419693,0.486071,0.604743,0.465633,0.271672,0.590732,0.457871,0.403882,0.581303,0.520673,0.243030,0.578327,0.532783,0.487830,0.647879,0.374590,0.456885,0.645336,0.354187,0.511184,0.645696,0.463388,0.368162,0.653019,0.446264,0.597506,0.722904,0.398297,0.497021,0.732814,0.392936,0.467231
1.0,0.517793,0.467734,0.470392,0.509487,0.474888,0.574504,0.510569,0.445938,0.513623,0.522355,0.460263,0.411086,0.535578,0.425840,0.537015,0.550222,0.446888,0.603211,0.544853,0.415400,0.573396,0.601109,0.480630,0.432897,0.611093,0.460462,0.468426,0.599169,0.528813,0.405993,0.587456,0.504664,0.413477,0.640113,0.367411,0.382800,0.635498,0.352914,0.571863,0.638344,0.461564,0.355503,0.660889,0.450191,0.690588,0.722934,0.391626,0.558957,0.727873,0.400884,0.540482
1.0,0.493066,0.473935,0.540623,0.490148,0.466875,0.455293,0.497015,0.458083,0.562046,0.493769,0.443183,0.396482,0.492372,0.425652,0.585932,0.541699,0.416433,0.585256,0.525113,0.424452,0.551649,0.569519,0.471495,0.439399,0.566342,0.468977,0.547623,0.570001,0.531954,0.379585,0.574986,0.524052,0.482582,0.639282,0.342182,0.637786,0.640117,0.352833,0.583698,0.641039,0.454601,0.555871,0.641503,0.441619,0.599435,0.717118,0.384926,0.577413,0.732466,0.389664,0.683592
1.0,0.475725,0.472146,0.592010,0.461123,0.464488,0.631170,0.473285,0.444712,0.504721,0.474845,0.431822,0.349959,0.469426,0.421677,0.637178,0.500402,0.433964,0.634627,0.510670,0.426864,0.435905,0.529760,0.470998,0.459052,0.557235,0.455788,0.538094,0.559747,0.517745,0.280931,0.570791,0.521349,0.537892,0.615859,0.357265,0.528499,0.600214,0.356032,0.633741,0.627913,0.439025,0.535905,0.649473,0.441527,0.615673,0.713137,0.396742,0.652364,0.723593,0.400551,0.546844
1.0,0.417198,0.447186,0.437672,0.409400,0.464178,0.423519,0.401184,0.457161,0.467090,0.424545,0.430373,0.439514,0.421624,0.436520,0.597813,0.453352,0.410065,0.586708,0.460845,0.413498,0.575913,0.509664,0.433472,0.448395,0.504396,0.420886,0.527755,0.535502,0.476601,0.461625,0.535874,0.498493,0.592231,0.559577,0.369250,0.581290,0.586980,0.362425,0.529450,0.636823,0.429645,0.529384,0.636568,0.450592,0.730496,0.702115,0.380788,0.537727,0.733027,0.382212,0.426246
1.0,0.395662,0.459980,0.555209,0.380404,0.453924,0.526933,0.383671,0.443465,0.601632,0.381838,0.440953,0.422239,0.376846,0.422918,0.491302,0.431866,0.427139,0.680185,0.420592,0.410547,0.580955,0.485549,0.437416,0.338955,0.477367,0.429048,0.490409,0.529053,0.476862,0.412069,0.525012,0.482704,0.515699,0.550544,0.366053,0.357416,0.552157,0.369246,0.558230,0.637563,0.424545,0.398511,0.635452,0.423375,0.602762,0.727769,0.393198,0.519030,0.710596,0.379605,0.514987
1.0,0.346326,0.425535,0.506593,0.343965,0.428684,0.362133,0.346379,0.424243,0.435993,0.356970,0.432992,0.430296,0.347046,0.400984,0.621760,0.401982,0.420413,0.630180,0.398917,0.394991,0.527109,0.462370,0.422408,0.384115,0.455183,0.405462,0.426355,0.524383,0.429405,0.491040,0.519563,0.452160,0.424642,0.520620,0.371028,0.561747,0.518804,0.364926,0.549597,0.626580,0.411607,0.468610,0.626279,0.417099,0.566791,0.715200,0.389800,0.417489,0.726453,0.374132,0.555814
