label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
1.0,0.343079,0.572776,0.384867,0.333038,0.580695,0.577598,0.332414,0.575998,0.466341,0.340435,0.602387,0.369636,0.340087,0.592558,0.718751,0.376575,0.606501,0.574807,0.374496,0.597194,0.549737,0.448105,0.628031,0.439123,0.446069,0.620164,0.526076,0.517224,0.607654,0.366359,0.519143,0.596136,0.596926,0.520410,0.625704,0.579465,0.518035,0.617079,0.480862,0.619034,0.606577,0.501036,0.618288,0.606487,0.507161,0.720589,0.616259,0.577878,0.720047,0.617504,0.644844
1.0,0.354558,0.567013,0.561779,0.344121,0.574724,0.362324,0.343828,0.567837,0.422741,0.349697,0.594654,0.283419,0.349405,0.579688,0.446795,0.392739,0.599034,0.552491,0.391964,0.592922,0.484710,0.463900,0.607898,0.288146,0.465756,0.602788,0.377678,0.518215,0.578611,0.441687,0.518713,0.570879,0.472540,0.517854,0.631740,0.469246,0.514186,0.624183,0.345274,0.617499,0.592613,0.428208,0.617903,0.593126,0.486619,0.718170,0.617140,0.400787,0.718095,0.615437,0.556450
1.0,0.371518,0.559043,0.584562,0.358652,0.567892,0.522232,0.359776,0.559211,0.376439,0.366237,0.587430,0.471438,0.365919,0.569784,0.621586,0.412275,0.594582,0.592225,0.404534,0.582354,0.418120,0.479171,0.590700,0.320341,0.478543,0.587000,0.451937,0.519301,0.544519,0.518967,0.521583,0.544363,0.411530,0.525761,0.634763,0.497921,0.524208,0.629674,0.557202,0.624440,0.583644,0.465348,0.619567,0.586659,0.627347,0.717053,0.616154,0.428227,0.718366,0.617210,0.573661
1.0,0.405856,0.544300,0.427851,0.393064,0.551624,0.400011,0.393654,0.546051,0.520020,0.399947,0.574944,0.337348,0.397483,0.564069,0.601195,0.441193,0.586756,0.438591,0.434876,0.579302,0.491987,0.502530,0.572826,0.369565,0.498351,0.564656,0.477507,0.528118,0.518576,0.339237,0.529405,0.520942,0.396873,0.559753,0.639497,0.452545,0.558097,0.631619,0.527943,0.628286,0.567463,0.514219,0.627394,0.570418,0.614997,0.716445,0.610456,0.517682,0.717527,0.613075,0.389462
1.0,0.436825,0.542500,0.526192,0.423616,0.546888,0.529144,0.423845,0.543174,0.420463,0.426493,0.571762,0.301927,0.426233,0.563560,0.592897,0.465980,0.581473,0.689105,0.463357,0.580152,0.671178,0.517933,0.556671,0.402384,0.517918,0.549571,0.530525,0.544121,0.494773,0.397701,0.542826,0.496927,0.528596,0.584522,0.647947,0.539786,0.583606,0.639389,0.617585,0.637762,0.558806,0.543210,0.634731,0.563000,0.690200,0.718625,0.611384,0.501460,0.718643,0.614935,0.417985
1.0,0.475666,0.535461,0.623405,0.464784,0.542465,0.489679,0.466143,0.534544,0.548314,0.467122,0.566787,0.410553,0.472514,0.550868,0.602362,0.503405,0.574889,0.696960,0.502351,0.566913,0.504237,0.549142,0.537363,0.360717,0.548516,0.536664,0.578825,0.558783,0.481573,0.261135,0.556662,0.485519,0.513310,0.612520,0.650655,0.520042,0.611664,0.641146,0.631658,0.638454,0.550389,0.465481,0.638042,0.552599,0.601270,0.722341,0.608839,0.653241,0.724165,0.609407,0.612198
1.0,0.499247,0.531999,0.500841,0.489850,0.540152,0.498892,0.490680,0.534009,0.599226,0.489312,0.564644,0.371822,0.491176,0.550492,0.560201,0.523025,0.572597,0.691262,0.527235,0.567598,0.509571,0.571933,0.535265,0.371358,0.567210,0.535698,0.506024,0.571498,0.477808,0.409154,0.568021,0.479540,0.598481,0.628226,0.654681,0.578520,0.625637,0.646658,0.550700,0.644015,0.551390,0.503803,0.641123,0.553414,0.579360,0.723194,0.605325,0.588066,0.721955,0.606162,0.689713
1.0,0.525673,0.534657,0.570496,0.514251,0.539794,0.353367,0.517149,0.531207,0.450134,0.517536,0.563357,0.354907,0.517789,0.546734,0.521461,0.545493,0.575077,0.612299,0.548467,0.556504,0.480642,0.592267,0.540920,0.444502,0.589279,0.524590,0.431585,0.582486,0.477506,0.399165,0.580168,0.470120,0.596543,0.642008,0.649941,0.511913,0.639264,0.631599,0.580943,0.648324,0.552143,0.505153,0.648940,0.545493,0.653162,0.722480,0.608181,0.543560,0.725064,0.603372,0.542796
1.0,0.533735,0.537004,0.547897,0.526015,0.544725,0.520071,0.526523,0.534164,0.524654,0.529889,0.565536,0.317689,0.531696,0.543584,0.424022,0.560072,0.571601,0.579324,0.560710,0.550362,0.482496,0.600163,0.536219,0.389674,0.592057,0.521573,0.350963,0.589844,0.469741,0.238068,0.587661,0.467850,0.443867,0.649663,0.647738,0.506096,0.651725,0.630254,0.515992,0.647702,0.549384,0.467053,0.649534,0.544472,0.586811,0.721244,0.608726,0.506412,0.726143,0.606429,0.466809
1.0,0.531298,0.532249,0.494182,0.524440,0.540261,0.535142,0.523859,0.533832,0.626486,0.526392,0.564038,0.241576,0.528325,0.551169,0.486508,0.559716,0.569024,0.503123,0.560717,0.560074,0.486071,0.602498,0.536363,0.271672,0.599460,0.527303,0.403882,0.590032,0.468317,0.243030,0.588968,0.467949,0.487830,0.652728,0.646615,0.456885,0.654986,0.633473,0.511184,0.648816,0.547838,0.368162,0.655392,0.547435,0.597506,0.721383,0.608746,0.497021,0.727293,0.606872,0.467231
1.0,0.530343,0.537537,0.470392,0.519733,0.545745,0.574504,0.520575,0.537811,0.513623,0.522022,0.565354,0.411086,0.523933,0.547896,0.537015,0.552432,0.575487,0.603211,0.558327,0.554737,0.573396,0.595623,0.542384,0.432897,0.590789,0.523539,0.468426,0.588457,0.481745,0.405993,0.585004,0.474773,0.413477,0.642906,0.649573,0.382800,0.642623,0.628261,0.571863,0.648338,0.551344,0.355503,0.651312,0.546871,0.690588,0.723349,0.608905,0.558957,0.726510,0.603804,0.540482
1.0,0.504725,0.533424,0.540623,0.495764,0.540024,0.455293,0.496722,0.534494,0.562046,0.494059,0.563808,0.396482,0.497712,0.550077,0.585932,0.527345,0.572353,0.585256,0.533814,0.570801,0.551649,0.576357,0.539657,0.439399,0.571979,0.541539,0.547623,0.572650,0.478197,0.379585,0.572723,0.481851,0.482582,0.632531,0.655116,0.637786,0.628353,0.647543,0.583698,0.644639,0.549124,0.555871,0.641556,0.550934,0.599435,0.723401,0.605286,0.577413,0.722761,0.605733,0.683592
1.0,0.471737,0.538869,0.592010,0.461260,0.544694,0.631170,0.462265,0.539316,0.504721,0.465890,0.567719,0.349959,0.469931,0.555197,0.637178,0.502491,0.577715,0.634627,0.499112,0.570503,0.435905,0.545087,0.547545,0.459052,0.542192,0.540045,0.538094,0.561975,0.488168,0.280931,0.558216,0.488849,0.537892,0.610371,0.648435,0.528499,0.609728,0.637552,0.633741,0.639361,0.549466,0.535905,0.639139,0.550035,0.615673,0.720442,0.606785,0.652364,0.723495,0.605954,0.546844
1.0,0.421373,0.545170,0.437672,0.407043,0.551512,0.423519,0.408946,0.546841,0.467090,0.413042,0.575986,0.439514,0.412684,0.565591,0.597813,0.453842,0.584062,0.586708,0.448657,0.579958,0.575913,0.509811,0.567515,0.448395,0.506709,0.556620,0.527755,0.544164,0.508948,0.461625,0.542522,0.512049,0.592231,0.570391,0.639728,0.581290,0.570020,0.632440,0.529450,0.633589,0.557817,0.529384,0.633821,0.563104,0.730496,0.718656,0.607409,0.537727,0.720588,0.610636,0.426246
1.0,0.388938,0.550815,0.555209,0.378811,0.557901,0.526933,0.378114,0.553352,0.601632,0.385630,0.578497,0.422239,0.384147,0.568306,0.491302,0.429224,0.588785,0.680185,0.423436,0.580574,0.580955,0.491877,0.573550,0.338955,0.486327,0.568944,0.490409,0.530855,0.529846,0.412069,0.529159,0.533242,0.515699,0.545638,0.636601,0.357416,0.543740,0.630807,0.558230,0.625194,0.569860,0.398511,0.624081,0.571642,0.602762,0.718904,0.613093,0.519030,0.719080,0.610197,0.514987
1.0,0.353754,0.562717,0.506593,0.343255,0.569871,0.362133,0.343639,0.564255,0.435993,0.351845,0.588499,0.430296,0.350613,0.575073,0.621760,0.394885,0.595735,0.630180,0.395080,0.581277,0.527109,0.467421,0.593741,0.384115,0.469685,0.586873,0.426355,0.519171,0.559385,0.491040,0.520647,0.557432,0.424642,0.521288,0.628315,0.561747,0.519797,0.617756,0.549597,0.616821,0.589920,0.468610,0.618089,0.589826,0.566791,0.718537,0.616966,0.417489,0.718745,0.613932,0.555814
1.0,0.350592,0.572620,0.500261,0.339223,0.578993,0.526212,0.338679,0.569457,0.485615,0.343319,0.598117,0.365611,0.346212,0.576259,0.488444,0.380913,0.599795,0.608923,0.384468,0.591202,0.570903,0.448576,0.613317,0.386573,0.450252,0.607721,0.489976,0.518912,0.593412,0.433936,0.516820,0.583613,0.518334,0.520206,0.622939,0.593943,0.515905,0.612919,0.549456,0.615239,0.602774,0.427309,0.615922,0.602143,0.530956,0.719839,0.615116,0.410100,0.715987,0.616439,0.578615
