label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
1.0,0.337863,0.556869,0.384867,0.329268,0.576087,0.577598,0.334737,0.570345,0.466341,0.338776,0.601692,0.369636,0.348539,0.594162,0.718751,0.385287,0.621122,0.574807,0.383520,0.579306,0.549737,0.442202,0.610973,0.439123,0.458258,0.628703,0.526076,0.522613,0.601142,0.366359,0.507082,0.579920,0.596926,0.533000,0.624963,0.579465,0.531426,0.626053,0.480862,0.600938,0.606453,0.501036,0.630531,0.608645,0.507161,0.725693,0.600556,0.577878,0.704654,0.605520,0.644844
1.0,0.361656,0.566184,0.561779,0.349321,0.560897,0.362324,0.346759,0.553729,0.422741,0.352889,0.598466,0.283419,0.351754,0.594381,0.446795,0.397987,0.601337,0.552491,0.386468,0.586835,0.484710,0.469187,0.610022,0.288146,0.465494,0.595871,0.377678,0.532384,0.563650,0.441687,0.512109,0.575893,0.472540,0.521955,0.620605,0.469246,0.501470,0.623692,0.345274,0.606043,0.593234,0.428208,0.609159,0.577275,0.486619,0.720634,0.621223,0.400787,0.719631,0.621074,0.556450
1.0,0.363882,0.575357,0.584562,0.350881,0.554963,0.522232,0.356558,0.570961,0.376439,0.361296,0.580559,0.471438,0.360989,0.554166,0.621586,0.409257,0.591839,0.592225,0.393052,0.588442,0.418120,0.481586,0.600354,0.320341,0.478182,0.591717,0.451937,0.513313,0.531510,0.518967,0.512528,0.539356,0.411530,0.513322,0.617593,0.497921,0.523704,0.612050,0.557202,0.612435,0.589967,0.465348,0.624473,0.584560,0.627347,0.721057,0.609085,0.428227,0.736385,0.633250,0.573661
1.0,0.399966,0.543338,0.427851,0.396506,0.557126,0.400011,0.384310,0.556437,0.520020,0.400440,0.579568,0.337348,0.394310,0.550077,0.601195,0.444099,0.576292,0.438591,0.434443,0.573904,0.491987,0.497001,0.564278,0.369565,0.504572,0.549069,0.477507,0.525569,0.518932,0.339237,0.529601,0.522045,0.396873,0.565715,0.653387,0.452545,0.550711,0.639217,0.527943,0.642122,0.583709,0.514219,0.637158,0.583519,0.614997,0.704616,0.628482,0.517682,0.710891,0.608706,0.389462
1.0,0.428536,0.529236,0.526192,0.411388,0.553738,0.529144,0.422104,0.540944,0.420463,0.425397,0.584924,0.301927,0.431862,0.559335,0.592897,0.469155,0.585737,0.689105,0.461535,0.596276,0.671178,0.506943,0.547490,0.402384,0.522882,0.539908,0.530525,0.535858,0.509319,0.397701,0.533213,0.499575,0.528596,0.574074,0.659066,0.539786,0.570992,0.638303,0.617585,0.646967,0.552700,0.543210,0.619623,0.573928,0.690200,0.738412,0.618069,0.501460,0.732578,0.615303,0.417985
1.0,0.471837,0.530136,0.623405,0.463979,0.549202,0.489679,0.470011,0.532134,0.548314,0.455427,0.554374,0.410553,0.482448,0.552104,0.602362,0.490878,0.566662,0.696960,0.497648,0.575934,0.504237,0.542840,0.528403,0.360717,0.538710,0.541332,0.578825,0.561241,0.485638,0.261135,0.551559,0.471031,0.513310,0.618044,0.646278,0.520042,0.594712,0.626150,0.631658,0.651553,0.566655,0.465481,0.634803,0.536775,0.601270,0.708203,0.599899,0.653241,0.711777,0.596684,0.612198
1.0,0.513757,0.545938,0.500841,0.498168,0.543929,0.498892,0.491823,0.519843,0.599226,0.500371,0.550518,0.371822,0.502830,0.565997,0.560201,0.527364,0.560436,0.691262,0.531075,0.578841,0.509571,0.588666,0.525949,0.371358,0.558727,0.525636,0.506024,0.565524,0.483790,0.409154,0.561057,0.490086,0.598481,0.613920,0.672555,0.578520,0.638096,0.661032,0.550700,0.643782,0.554702,0.503803,0.651244,0.564140,0.579360,0.710648,0.608357,0.588066,0.734588,0.604526,0.689713
1.0,0.534380,0.532069,0.570496,0.518978,0.530662,0.353367,0.516689,0.546585,0.450134,0.503175,0.551136,0.354907,0.518068,0.542295,0.521461,0.548264,0.577888,0.612299,0.533416,0.569914,0.480642,0.582609,0.529905,0.444502,0.576391,0.518295,0.431585,0.576649,0.476242,0.399165,0.588580,0.474436,0.596543,0.648192,0.667364,0.511913,0.653517,0.627479,0.580943,0.659121,0.568610,0.505153,0.635522,0.538544,0.653162,0.715873,0.614879,0.543560,0.740243,0.592149,0.542796
1.0,0.540622,0.550444,0.547897,0.531835,0.537909,0.520071,0.535684,0.538729,0.524654,0.543380,0.557069,0.317689,0.527522,0.556900,0.424022,0.549239,0.588541,0.579324,0.573698,0.558599,0.482496,0.598211,0.524931,0.389674,0.598401,0.508816,0.350963,0.580009,0.467449,0.238068,0.581832,0.476530,0.443867,0.647526,0.628712,0.506096,0.645525,0.632498,0.515992,0.632032,0.559109,0.467053,0.633190,0.531731,0.586811,0.702461,0.593707,0.506412,0.709064,0.619950,0.466809
1.0,0.531148,0.516559,0.494182,0.521182,0.545044,0.535142,0.511714,0.518917,0.626486,0.522005,0.554639,0.241576,0.537061,0.549773,0.486508,0.562378,0.579593,0.503123,0.567747,0.557048,0.486071,0.609658,0.520804,0.271672,0.603694,0.520778,0.403882,0.601338,0.467759,0.243030,0.599297,0.469141,0.487830,0.662622,0.645137,0.456885,0.660147,0.650473,0.511184,0.648908,0.558265,0.368162,0.649683,0.550765,0.597506,0.724263,0.608782,0.497021,0.738496,0.615452,0.467231
