label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
0.0,0.168670,0.419777,0.669143,0.143851,0.436362,0.788335,0.154748,0.417932,0.829458,0.121502,0.485050,0.819297,0.127611,0.450241,0.582054,0.127847,0.556717,0.828966,0.177672,0.542786,0.338631,0.184930,0.679448,0.868228,0.314925,0.581596,0.298333,0.094482,0.604705,0.699846,0.379671,0.579029,0.242285,0.338444,0.690291,0.492013,0.361735,0.659516,0.607658,0.543998,0.657368,0.722499,0.553326,0.585944,0.525051,0.801032,0.681122,0.504108,0.800042,0.645972,0.553889
0.0,0.176820,0.429717,0.660789,0.148728,0.436755,0.746759,0.154281,0.443851,0.798298,0.124947,0.480657,0.682578,0.130539,0.463954,0.663426,0.135130,0.558077,0.649711,0.190098,0.539224,0.331511,0.185851,0.714836,0.882336,0.317862,0.573088,0.491963,0.084492,0.595463,0.578642,0.407766,0.581880,0.486958,0.334664,0.691322,0.421780,0.370642,0.662648,0.587254,0.556255,0.645883,0.563662,0.560236,0.581940,0.556252,0.763843,0.677578,0.365366,0.787855,0.642526,0.456857
0.0,0.182657,0.422287,0.730777,0.153316,0.438100,0.704238,0.161840,0.434608,0.735045,0.134143,0.488435,0.834794,0.134671,0.455934,0.725130,0.138612,0.546532,0.748629,0.206443,0.518728,0.550231,0.190659,0.680483,0.888706,0.340779,0.597170,0.363686,0.095606,0.593407,0.606346,0.398549,0.581461,0.502788,0.325090,0.700899,0.445129,0.361904,0.661654,0.542217,0.556396,0.632462,0.694105,0.556045,0.599857,0.631801,0.786472,0.683039,0.464073,0.794293,0.645433,0.585149
0.0,0.186639,0.426897,0.705084,0.161445,0.424451,0.805680,0.162866,0.424351,0.835553,0.140202,0.476325,0.795751,0.137112,0.472667,0.680419,0.143505,0.543523,0.667564,0.212920,0.510633,0.657109,0.211304,0.696135,0.822861,0.330799,0.585795,0.378886,0.113441,0.606975,0.618267,0.392017,0.578193,0.363445,0.319833,0.742919,0.632091,0.338348,0.681391,0.603045,0.527798,0.638609,0.756532,0.541281,0.583755,0.664343,0.759942,0.682454,0.483113,0.784698,0.630483,0.562257
0.0,0.198852,0.428781,0.700189,0.174555,0.426202,0.707764,0.173259,0.418009,0.730844,0.144262,0.485800,0.795684,0.149209,0.473264,0.714105,0.157165,0.571278,0.814189,0.204368,0.510663,0.626964,0.204461,0.690945,0.807558,0.313896,0.599092,0.222436,0.114054,0.619198,0.553065,0.353738,0.597778,0.096236,0.310609,0.758747,0.676270,0.337922,0.678406,0.554011,0.533092,0.641233,0.845915,0.560326,0.573347,0.604853,0.789875,0.702265,0.490274,0.795253,0.633761,0.563639
0.0,0.215294,0.426080,0.739636,0.180992,0.439544,0.768742,0.190409,0.416733,0.645278,0.158306,0.464494,0.737065,0.163718,0.476410,0.715707,0.164082,0.573984,0.591601,0.201625,0.542091,0.507555,0.221685,0.695268,0.849989,0.289297,0.603824,0.227980,0.124357,0.604808,0.677600,0.325422,0.595503,0.080056,0.338027,0.744109,0.533329,0.333615,0.716771,0.640280,0.552651,0.617643,0.789052,0.542104,0.590766,0.743330,0.781939,0.712759,0.545973,0.765474,0.627249,0.516976
0.0,0.225890,0.431472,0.744582,0.198372,0.438271,0.825871,0.196381,0.420472,0.794178,0.170327,0.485439,0.696512,0.174945,0.457034,0.725355,0.174109,0.546009,0.556729,0.211597,0.552580,0.580310,0.221470,0.705781,0.835449,0.303135,0.634554,0.248114,0.134077,0.596743,0.635449,0.304456,0.619399,0.062826,0.332420,0.753852,0.524903,0.349278,0.724386,0.599203,0.528403,0.642616,0.797459,0.543756,0.578347,0.586836,0.771579,0.675729,0.521861,0.779309,0.619623,0.489008
0.0,0.234848,0.426535,0.792766,0.213059,0.426654,0.780643,0.209128,0.424874,0.791736,0.189720,0.493416,0.733831,0.186770,0.457948,0.677686,0.197551,0.546673,0.702329,0.205718,0.550000,0.636324,0.243314,0.700574,0.743547,0.330511,0.595898,0.230575,0.163697,0.587002,0.627213,0.310605,0.629954,0.087240,0.364221,0.728530,0.518538,0.371523,0.715636,0.487857,0.538130,0.612815,0.696321,0.547581,0.589109,0.513410,0.797823,0.646367,0.270789,0.792428,0.631839,0.294183
0.0,0.253484,0.430053,0.686868,0.225675,0.436283,0.749569,0.234085,0.429226,0.801071,0.202799,0.467934,0.736827,0.203790,0.475507,0.718276,0.214342,0.566236,0.739479,0.227411,0.551112,0.716749,0.251980,0.705019,0.670202,0.346333,0.638749,0.217401,0.175824,0.604013,0.664093,0.308499,0.618182,0.108701,0.359704,0.748279,0.649099,0.389938,0.727102,0.441750,0.559439,0.629298,0.609406,0.565064,0.580647,0.488364,0.771464,0.670540,0.397483,0.778239,0.657848,0.341637
0.0,0.274165,0.432176,0.678783,0.251730,0.434742,0.663890,0.255023,0.425008,0.580816,0.222328,0.460993,0.772768,0.236777,0.453353,0.629281,0.234564,0.538956,0.657034,0.270486,0.521980,0.326811,0.264095,0.745419,0.820338,0.348419,0.597212,0.164683,0.194996,0.620198,0.687928,0.317188,0.582430,0.073837,0.388407,0.754444,0.524673,0.396747,0.696297,0.447796,0.545051,0.631913,0.582836,0.589623,0.576804,0.465017,0.772612,0.676512,0.425923,0.755656,0.650037,0.305393
