label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
0.0,0.171301,0.569220,0.669143,0.150303,0.569568,0.788335,0.148032,0.567776,0.829458,0.125299,0.536707,0.819297,0.121089,0.524426,0.582054,0.174885,0.468803,0.828966,0.129887,0.446751,0.338631,0.314448,0.420599,0.868228,0.188164,0.299642,0.298333,0.385040,0.423682,0.699846,0.092079,0.412144,0.242285,0.362503,0.353012,0.492013,0.335102,0.300383,0.607658,0.563319,0.416581,0.722499,0.546195,0.354118,0.525051,0.780922,0.369770,0.504108,0.777775,0.305040,0.553889
0.0,0.171830,0.569218,0.660789,0.151329,0.568584,0.746759,0.148617,0.565606,0.798298,0.131582,0.534865,0.682578,0.123819,0.519286,0.663426,0.195012,0.468308,0.649711,0.133753,0.444101,0.331511,0.325529,0.421960,0.882336,0.188531,0.300046,0.491963,0.403357,0.417613,0.578642,0.083253,0.413932,0.486958,0.361727,0.352361,0.421780,0.330640,0.298382,0.587254,0.556870,0.410614,0.563662,0.544458,0.357257,0.556252,0.782677,0.366988,0.365366,0.775569,0.313332,0.456857
0.0,0.179355,0.571715,0.730777,0.158819,0.572234,0.704238,0.157470,0.569743,0.735045,0.137264,0.534973,0.834794,0.132076,0.525448,0.725130,0.209038,0.476872,0.748629,0.136984,0.444952,0.550231,0.331445,0.419574,0.888706,0.192200,0.298615,0.363686,0.400807,0.422173,0.606346,0.095411,0.409494,0.502788,0.352673,0.340633,0.445129,0.325605,0.286316,0.542217,0.559322,0.413578,0.694105,0.545770,0.357558,0.631801,0.779955,0.369989,0.464073,0.774412,0.306539,0.585149
0.0,0.186805,0.575265,0.705084,0.163026,0.572821,0.805680,0.162109,0.571998,0.835553,0.140597,0.532739,0.795751,0.138120,0.519881,0.680419,0.209807,0.475920,0.667564,0.147138,0.440492,0.657109,0.325230,0.422469,0.822861,0.205907,0.300489,0.378886,0.399158,0.416580,0.618267,0.110606,0.403699,0.363445,0.338036,0.324740,0.632091,0.314595,0.272790,0.603045,0.556037,0.410493,0.756532,0.542273,0.355483,0.664343,0.779760,0.371392,0.483113,0.772643,0.304798,0.562257
0.0,0.197231,0.575594,0.700189,0.174017,0.573662,0.707764,0.171509,0.571706,0.730844,0.149360,0.534870,0.795684,0.142560,0.521321,0.714105,0.206478,0.474604,0.814189,0.156340,0.444640,0.626964,0.311480,0.417434,0.807558,0.207535,0.293790,0.222436,0.346971,0.399885,0.553065,0.113074,0.397471,0.096236,0.334605,0.310595,0.676270,0.318713,0.262440,0.554011,0.556229,0.410351,0.845915,0.538870,0.357518,0.604853,0.779064,0.372504,0.490274,0.773360,0.303904,0.563639
0.0,0.209970,0.573082,0.739636,0.187423,0.573660,0.768742,0.185459,0.570955,0.645278,0.161890,0.531208,0.737065,0.155293,0.521441,0.715707,0.204612,0.466387,0.591601,0.166441,0.439911,0.507555,0.293154,0.396597,0.849989,0.216963,0.289052,0.227980,0.319364,0.387586,0.677600,0.127770,0.397041,0.080056,0.339125,0.293292,0.533329,0.328938,0.254821,0.640280,0.554823,0.413704,0.789052,0.538672,0.365603,0.743330,0.783429,0.369398,0.545973,0.780694,0.305148,0.516976
0.0,0.222634,0.571710,0.744582,0.199040,0.572482,0.825871,0.197861,0.570911,0.794178,0.174156,0.531754,0.696512,0.169179,0.518357,0.725355,0.206224,0.453941,0.556729,0.178133,0.437446,0.580310,0.306918,0.378642,0.835449,0.226914,0.283073,0.248114,0.309293,0.369832,0.635449,0.137161,0.401247,0.062826,0.353364,0.289175,0.524903,0.342548,0.251817,0.599203,0.552072,0.414410,0.797459,0.540470,0.368852,0.586836,0.784048,0.370304,0.521861,0.779325,0.304852,0.489008
0.0,0.237823,0.568545,0.792766,0.215529,0.570031,0.780643,0.215643,0.568162,0.791736,0.189881,0.532009,0.733831,0.188204,0.520280,0.677686,0.212025,0.449736,0.702329,0.197212,0.441535,0.636324,0.324496,0.389423,0.743547,0.241463,0.281116,0.230575,0.314014,0.385937,0.627213,0.163304,0.395918,0.087240,0.367595,0.291248,0.518538,0.358145,0.255001,0.487857,0.557144,0.412259,0.696321,0.548117,0.374151,0.513410,0.777193,0.352385,0.270789,0.775395,0.336396,0.294183
0.0,0.248617,0.567169,0.686868,0.228121,0.569837,0.749569,0.227690,0.567192,0.801071,0.206220,0.530726,0.736827,0.204900,0.517658,0.718276,0.232451,0.455322,0.739479,0.214922,0.448347,0.716749,0.339618,0.377801,0.670202,0.251250,0.275511,0.217401,0.309039,0.381788,0.664093,0.177643,0.394486,0.108701,0.379844,0.287353,0.649099,0.368744,0.254705,0.441750,0.561183,0.411839,0.609406,0.549736,0.380473,0.488364,0.790236,0.328066,0.397483,0.782162,0.340542,0.341637
0.0,0.268502,0.573440,0.678783,0.248603,0.576134,0.663890,0.248248,0.569216,0.580816,0.231083,0.539454,0.772768,0.225262,0.525405,0.629281,0.273430,0.471794,0.657034,0.228801,0.445237,0.326811,0.356327,0.401976,0.820338,0.263638,0.270180,0.164683,0.315295,0.411040,0.687928,0.195317,0.393373,0.073837,0.401914,0.316394,0.524673,0.381544,0.257707,0.447796,0.582794,0.423599,0.582836,0.560390,0.373618,0.465017,0.770347,0.353181,0.425923,0.779546,0.327918,0.305393
0.0,0.271386,0.571290,0.346264,0.261379,0.578352,0.386818,0.245868,0.569047,0.362371,0.254613,0.568514,0.224198,0.222536,0.538532,0.318199,0.297154,0.473796,0.373758,0.219702,0.429011,0.162532,0.333834,0.428617,0.715070,0.279327,0.259421,0.104022,0.213940,0.410174,0.589412,0.208377,0.402863,0.235544,0.409921,0.322046,0.558589,0.392701,0.259140,0.444534,0.579637,0.430736,0.566880,0.555560,0.376530,0.611523,0.774125,0.361831,0.473462,0.782214,0.318338,0.343828
0.0,0.284724,0.565438,0.410478,0.275218,0.573377,0.404669,0.261855,0.565398,0.455044,0.271309,0.559612,0.305486,0.240277,0.536864,0.379924,0.308578,0.470640,0.383928,0.238330,0.433497,0.241366,0.385107,0.430097,0.463529,0.290901,0.255566,0.108647,0.323680,0.436942,0.353889,0.227988,0.398575,0.075914,0.421577,0.299360,0.322761,0.401484,0.260398,0.288833,0.558475,0.418233,0.409469,0.551348,0.403440,0.559197,0.772297,0.321983,0.389687,0.773277,0.331530,0.356448
0.0,0.296704,0.551700,0.487773,0.292839,0.562669,0.366995,0.273467,0.547132,0.463378,0.288091,0.547809,0.456428,0.249135,0.518799,0.358405,0.328998,0.462719,0.437448,0.248167,0.429273,0.255940,0.435032,0.416496,0.487526,0.302149,0.258749,0.162831,0.397581,0.441619,0.217063,0.249395,0.390998,0.129859,0.434441,0.254882,0.347281,0.412026,0.246015,0.392608,0.570982,0.387608,0.638817,0.532939,0.429200,0.339812,0.770879,0.321488,0.359633,0.776535,0.351819,0.536556
0.0,0.344604,0.541889,0.220994,0.312536,0.555988,0.343540,0.305782,0.549969,0.298837,0.300437,0.515872,0.300277,0.279078,0.513287,0.188639,0.370057,0.410268,0.181189,0.338082,0.449132,0.130940,0.430869,0.358520,0.071227,0.393501,0.416498,0.077119,0.402695,0.369260,0.059242,0.335370,0.428281,0.067711,0.455367,0.231614,0.409448,0.441463,0.252864,0.449046,0.601285,0.365172,0.549262,0.549314,0.438897,0.253799,0.771421,0.326708,0.551457,0.779519,0.355538,0.562227
0.0,0.111643,0.424585,0.061881,0.008055,0.430972,0.034308,0.096642,0.420960,0.039198,0.336862,0.431354,0.007803,0.346789,0.432483,0.007949,0.248580,0.409370,0.074567,0.245089,0.423442,0.080417,0.370624,0.310736,0.281558,0.266578,0.416700,0.046339,0.416674,0.323100,0.230766,0.272659,0.406088,0.057721,0.428992,0.253891,0.408374,0.416383,0.250909,0.306457,0.569917,0.412601,0.331969,0.555921,0.444809,0.450871,0.778763,0.336525,0.469321,0.792031,0.345471,0.456441
0.0,0.083247,0.394735,0.091781,0.018044,0.367880,0.073364,0.070829,0.389998,0.059496,0.077499,0.383449,0.116009,0.114576,0.404628,0.088539,0.133252,0.236906,0.097559,0.154001,0.345552,0.146121,0.382958,0.296550,0.036858,0.404744,0.397737,0.036977,0.434500,0.307824,0.111139,0.407445,0.332983,0.058305,0.449110,0.265001,0.428085,0.461037,0.250257,0.302795,0.535452,0.447858,0.557673,0.543757,0.452092,0.624506,0.770401,0.337361,0.577959,0.787717,0.360453,0.532966
0.0,0.524593,0.454390,0.019168,0.530385,0.437248,0.050859,0.177581,0.294275,0.013438,0.440284,0.382845,0.011562,0.448206,0.384489,0.012878,0.401706,0.337854,0.013846,0.397426,0.356713,0.010870,0.438768,0.315553,0.017802,0.470230,0.407757,0.054802,0.565734,0.287351,0.136262,0.282100,0.414513,0.021598,0.475658,0.265183,0.479337,0.482160,0.246087,0.442190,0.536823,0.452307,0.588436,0.546524,0.451654,0.541673,0.765124,0.341330,0.593358,0.782272,0.353052,0.435617
0.0,0.476938,0.487199,0.125553,0.439249,0.504292,0.112772,0.442432,0.510865,0.157248,0.449820,0.473792,0.098731,0.448362,0.485473,0.156041,0.467008,0.427271,0.179256,0.456298,0.434992,0.239918,0.513205,0.447917,0.105745,0.471867,0.445568,0.221506,0.388381,0.522217,0.246137,0.389518,0.522618,0.368258,0.501494,0.241865,0.552374,0.490030,0.229131,0.405997,0.590364,0.406351,0.613183,0.537860,0.453058,0.234565,0.773029,0.340659,0.596265,0.783744,0.358880,0.467881
0.0,0.429823,0.483366,0.104723,0.413661,0.492077,0.187095,0.407956,0.499096,0.137276,0.406093,0.478068,0.200254,0.389854,0.456855,0.207079,0.460967,0.451591,0.348260,0.396480,0.378797,0.289878,0.527095,0.459076,0.418206,0.373816,0.378224,0.334542,0.394279,0.519715,0.392260,0.384588,0.517970,0.531481,0.513889,0.247123,0.637945,0.489102,0.224502,0.465764,0.555535,0.447387,0.520900,0.535610,0.447634,0.583092,0.774262,0.358434,0.514234,0.782863,0.349381,0.334123
0.0,0.391080,0.517527,0.103955,0.383597,0.547105,0.200488,0.372374,0.542366,0.182995,0.366081,0.500816,0.144611,0.336260,0.477466,0.176726,0.421192,0.457856,0.288863,0.365328,0.379054,0.281711,0.526599,0.462948,0.326790,0.381712,0.368341,0.289297,0.394547,0.520507,0.472554,0.382449,0.512611,0.412899,0.516318,0.250441,0.478129,0.490879,0.218753,0.459374,0.551568,0.457556,0.599088,0.535338,0.453060,0.580996,0.780449,0.359140,0.496960,0.775485,0.335110,0.317890
0.0,0.396863,0.576495,0.528157,0.385282,0.574961,0.515965,0.379388,0.569334,0.549958,0.373309,0.537783,0.370725,0.349942,0.528184,0.283398,0.428256,0.465671,0.363344,0.355027,0.422788,0.290925,0.530393,0.464485,0.184952,0.373948,0.395200,0.293503,0.393681,0.522623,0.477805,0.384959,0.521272,0.356086,0.521861,0.256148,0.649833,0.489555,0.225520,0.390336,0.550957,0.458784,0.638269,0.539591,0.459850,0.504797,0.785049,0.356536,0.544972,0.780960,0.343622,0.485204
0.0,0.406918,0.572273,0.484035,0.396505,0.572336,0.562987,0.388458,0.567104,0.576358,0.380972,0.534570,0.362252,0.360355,0.527329,0.390486,0.424711,0.463168,0.347665,0.357888,0.421921,0.313343,0.523993,0.460691,0.191265,0.374430,0.404009,0.272184,0.394418,0.525211,0.540929,0.393924,0.524212,0.413437,0.523034,0.255759,0.542702,0.492202,0.224080,0.426135,0.550776,0.458448,0.565676,0.542524,0.455943,0.466058,0.775236,0.355330,0.585695,0.788225,0.342666,0.489801
0.0,0.405795,0.576757,0.492978,0.395305,0.576171,0.635555,0.388247,0.570538,0.564934,0.382139,0.537500,0.402391,0.365964,0.533127,0.520069,0.443342,0.474170,0.417394,0.360125,0.421444,0.278533,0.539897,0.461368,0.117810,0.380060,0.393003,0.335790,0.392214,0.524073,0.457606,0.387697,0.524829,0.319593,0.518712,0.250220,0.620053,0.487277,0.225362,0.526768,0.555650,0.458928,0.711057,0.541185,0.455311,0.457983,0.781474,0.357217,0.614984,0.790370,0.342640,0.549482
0.0,0.405409,0.576800,0.461341,0.394103,0.576318,0.548246,0.387534,0.571911,0.531179,0.378024,0.540747,0.373645,0.358506,0.536569,0.345798,0.425831,0.464066,0.419867,0.366078,0.426487,0.289853,0.532120,0.462570,0.165152,0.382562,0.404301,0.300342,0.390030,0.528620,0.467315,0.389926,0.528277,0.293979,0.516368,0.248752,0.591328,0.489473,0.226205,0.562483,0.551753,0.459476,0.547493,0.544858,0.457249,0.464390,0.780851,0.350113,0.498039,0.790326,0.345816,0.490143
0.0,0.390040,0.560453,0.279245,0.373552,0.548406,0.199245,0.361384,0.545637,0.200115,0.350440,0.501191,0.149172,0.319957,0.493500,0.241407,0.416400,0.455788,0.343715,0.357795,0.393375,0.354974,0.519348,0.454256,0.385757,0.371047,0.381461,0.218636,0.382534,0.521672,0.550751,0.379499,0.520044,0.435808,0.514852,0.248023,0.543668,0.491008,0.225729,0.513943,0.556489,0.451811,0.623176,0.539028,0.453325,0.487136,0.782082,0.351278,0.460898,0.782913,0.344966,0.576639
0.0,0.538709,0.429646,0.111536,0.565764,0.406816,0.124724,0.526623,0.463165,0.076860,0.504401,0.396887,0.177180,0.518803,0.458798,0.126250,0.460627,0.346190,0.243805,0.466241,0.382740,0.176161,0.577780,0.371759,0.116733,0.525622,0.455882,0.132820,0.605048,0.287216,0.077690,0.467012,0.324824,0.028280,0.489988,0.245303,0.497336,0.494872,0.237203,0.506119,0.544759,0.448385,0.588575,0.540627,0.453677,0.500517,0.766914,0.340092,0.547617,0.783554,0.353915,0.403924
