label,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
0.0,0.173851,0.570497,0.669143,0.145932,0.575982,0.788335,0.147547,0.574033,0.829458,0.128809,0.524977,0.819297,0.121002,0.514174,0.582054,0.176178,0.478108,0.828966,0.126185,0.447682,0.338631,0.309495,0.428681,0.868228,0.187562,0.302075,0.298333,0.380806,0.426193,0.699846,0.091743,0.421398,0.242285,0.356396,0.348405,0.492013,0.344432,0.296694,0.607658,0.574403,0.406869,0.722499,0.545906,0.347326,0.525051,0.767946,0.371436,0.504108,0.759865,0.299848,0.553889
0.0,0.175686,0.566511,0.660789,0.151304,0.568068,0.746759,0.150765,0.559528,0.798298,0.134214,0.545984,0.682578,0.120479,0.514833,0.663426,0.189201,0.471787,0.649711,0.135113,0.443970,0.331511,0.318792,0.413904,0.882336,0.191130,0.306650,0.491963,0.400562,0.411165,0.578642,0.084999,0.405822,0.486958,0.365287,0.358764,0.421780,0.337167,0.296737,0.587254,0.562647,0.402036,0.563662,0.528848,0.351504,0.556252,0.772469,0.374392,0.365366,0.759231,0.317576,0.456857
0.0,0.176895,0.568669,0.730777,0.160115,0.560833,0.704238,0.161838,0.577581,0.735045,0.136871,0.536919,0.834794,0.128960,0.518273,0.725130,0.211778,0.483301,0.748629,0.137572,0.450765,0.550231,0.330058,0.418798,0.888706,0.191308,0.293904,0.363686,0.398572,0.424611,0.606346,0.094360,0.421025,0.502788,0.355208,0.331612,0.445129,0.333157,0.282479,0.542217,0.572535,0.425256,0.694105,0.539963,0.365967,0.631801,0.797213,0.370155,0.464073,0.768651,0.304043,0.585149
0.0,0.185970,0.562894,0.705084,0.160421,0.584857,0.805680,0.158521,0.577566,0.835553,0.139834,0.534016,0.795751,0.134901,0.525802,0.680419,0.213025,0.479602,0.667564,0.150325,0.438299,0.657109,0.332633,0.418594,0.822861,0.207482,0.308187,0.378886,0.406920,0.404951,0.618267,0.108734,0.406388,0.363445,0.336643,0.329511,0.632091,0.320167,0.277669,0.603045,0.555123,0.416460,0.756532,0.552748,0.356691,0.664343,0.759416,0.369862,0.483113,0.788998,0.310431,0.562257
0.0,0.198522,0.567169,0.700189,0.175619,0.576854,0.707764,0.171896,0.574383,0.730844,0.150668,0.526693,0.795684,0.140920,0.527334,0.714105,0.207688,0.473084,0.814189,0.153455,0.447671,0.626964,0.316461,0.405980,0.807558,0.203802,0.301976,0.222436,0.340510,0.395999,0.553065,0.113492,0.391865,0.096236,0.332474,0.315446,0.676270,0.327599,0.261558,0.554011,0.562698,0.414959,0.845915,0.531376,0.364528,0.604853,0.768449,0.381208,0.490274,0.793663,0.305583,0.563639
0.0,0.208149,0.571561,0.739636,0.186232,0.589232,0.768742,0.185243,0.554310,0.645278,0.165742,0.527243,0.737065,0.156985,0.522010,0.715707,0.201663,0.460850,0.591601,0.162394,0.449769,0.507555,0.294250,0.388919,0.849989,0.213115,0.283001,0.227980,0.319365,0.398220,0.677600,0.127570,0.408591,0.080056,0.347608,0.289322,0.533329,0.326742,0.247423,0.640280,0.548218,0.417325,0.789052,0.549075,0.368762,0.743330,0.764824,0.359476,0.545973,0.776037,0.310935,0.516976
0.0,0.222976,0.580286,0.744582,0.203471,0.582008,0.825871,0.193413,0.560456,0.794178,0.169890,0.534156,0.696512,0.169565,0.522851,0.725355,0.206875,0.442910,0.556729,0.178597,0.431601,0.580310,0.301085,0.375127,0.835449,0.222232,0.291385,0.248114,0.308321,0.373328,0.635449,0.140257,0.391294,0.062826,0.346857,0.297509,0.524903,0.350390,0.251462,0.599203,0.551283,0.422660,0.797459,0.542727,0.359594,0.586836,0.794438,0.372354,0.521861,0.798304,0.299479,0.489008
0.0,0.239871,0.561872,0.792766,0.218449,0.558597,0.780643,0.215054,0.585030,0.791736,0.187876,0.533493,0.733831,0.185299,0.505088,0.677686,0.214181,0.441017,0.702329,0.197942,0.446496,0.636324,0.324203,0.384064,0.743547,0.239514,0.287903,0.230575,0.318478,0.374785,0.627213,0.163561,0.388410,0.087240,0.362717,0.293287,0.518538,0.363191,0.262373,0.487857,0.549443,0.400035,0.696321,0.552714,0.364982,0.513410,0.789937,0.355376,0.270789,0.762986,0.335496,0.294183
0.0,0.252066,0.557393,0.686868,0.233620,0.583150,0.749569,0.230326,0.559466,0.801071,0.210751,0.543157,0.736827,0.207991,0.507295,0.718276,0.229404,0.448838,0.739479,0.211747,0.458010,0.716749,0.338373,0.388217,0.670202,0.247768,0.270928,0.217401,0.309583,0.392866,0.664093,0.175747,0.405921,0.108701,0.386723,0.293158,0.649099,0.362607,0.253369,0.441750,0.544393,0.420635,0.609406,0.556182,0.369731,0.488364,0.768182,0.325722,0.397483,0.769190,0.344020,0.341637
0.0,0.262931,0.556710,0.678783,0.250561,0.575764,0.663890,0.241170,0.584418,0.580816,0.228573,0.543408,0.772768,0.230795,0.510152,0.629281,0.266544,0.470005,0.657034,0.229545,0.439172,0.326811,0.365327,0.413498,0.820338,0.263752,0.274610,0.164683,0.306274,0.413808,0.687928,0.200492,0.385213,0.073837,0.403294,0.321754,0.524673,0.389594,0.256832,0.447796,0.582853,0.416338,0.582836,0.548735,0.375274,0.465017,0.750651,0.345624,0.425923,0.792857,0.334850,0.305393
0.0,0.268302,0.568220,0.346264,0.254433,0.572747,0.386818,0.242745,0.567793,0.362371,0.257544,0.581405,0.224198,0.218984,0.548807,0.318199,0.290664,0.464232,0.373758,0.217241,0.435672,0.162532,0.342995,0.435572,0.715070,0.271490,0.253479,0.104022,0.213578,0.414017,0.589412,0.204167,0.395277,0.235544,0.403517,0.331125,0.558589,0.402736,0.258631,0.444534,0.592036,0.441311,0.566880,0.556309,0.371182,0.611523,0.792878,0.362604,0.473462,0.791351,0.321069,0.343828
0.0,0.289815,0.560936,0.410478,0.268798,0.562420,0.404669,0.264137,0.555316,0.455044,0.271440,0.554725,0.305486,0.235037,0.538650,0.379924,0.313611,0.458090,0.383928,0.236842,0.433448,0.241366,0.388567,0.421845,0.463529,0.298872,0.262552,0.108647,0.320881,0.434613,0.353889,0.222121,0.393021,0.075914,0.412136,0.300322,0.322761,0.392586,0.254150,0.288833,0.563304,0.408820,0.409469,0.546764,0.405846,0.559197,0.777432,0.314842,0.389687,0.754250,0.329078,0.356448
0.0,0.291209,0.566028,0.487773,0.299759,0.548037,0.366995,0.271276,0.561859,0.463378,0.280064,0.563386,0.456428,0.244469,0.510477,0.358405,0.320281,0.465891,0.437448,0.251280,0.429232,0.255940,0.432078,0.425766,0.487526,0.306891,0.256663,0.162831,0.386764,0.440320,0.217063,0.249865,0.397171,0.129859,0.439910,0.260216,0.347281,0.417911,0.241442,0.392608,0.558212,0.377684,0.638817,0.537869,0.428055,0.339812,0.767692,0.321808,0.359633,0.753773,0.342775,0.536556
0.0,0.346610,0.557910,0.220994,0.320323,0.550416,0.343540,0.307793,0.537556,0.298837,0.293459,0.516778,0.300277,0.279020,0.520095,0.188639,0.360590,0.404629,0.181189,0.330258,0.457335,0.130940,0.422543,0.348479,0.071227,0.405303,0.404036,0.077119,0.395519,0.369128,0.059242,0.340020,0.427881,0.067711,0.452323,0.231850,0.409448,0.430382,0.254220,0.449046,0.592860,0.366277,0.549262,0.565186,0.451662,0.253799,0.757248,0.320017,0.551457,0.757019,0.358132,0.562227
0.0,0.113626,0.415578,0.061881,0.007948,0.436030,0.034308,0.094873,0.428830,0.039198,0.330557,0.436224,0.007803,0.339682,0.433696,0.007949,0.254225,0.416353,0.074567,0.245021,0.421163,0.080417,0.377677,0.313338,0.281558,0.265165,0.416038,0.046339,0.405222,0.319334,0.230766,0.276185,0.409540,0.057721,0.424776,0.258550,0.408374,0.422339,0.256886,0.306457,0.560990,0.405506,0.331969,0.558972,0.433972,0.450871,0.798512,0.328327,0.469321,0.782742,0.350560,0.456441
0.0,0.084236,0.383878,0.091781,0.018142,0.365974,0.073364,0.069749,0.401208,0.059496,0.079020,0.393977,0.116009,0.113009,0.398964,0.088539,0.130464,0.238613,0.097559,0.156982,0.342493,0.146121,0.378538,0.298884,0.036858,0.413922,0.393829,0.036977,0.425438,0.306527,0.111139,0.419178,0.334012,0.058305,0.447618,0.270225,0.428085,0.472975,0.245925,0.302795,0.520589,0.435426,0.557673,0.531890,0.454133,0.624506,0.774820,0.347179,0.577959,0.810505,0.352004,0.532966
0.0,0.525266,0.448229,0.019168,0.544358,0.447756,0.050859,0.179798,0.301510,0.013438,0.444589,0.386676,0.011562,0.454250,0.380201,0.012878,0.395326,0.330493,0.013846,0.400554,0.350746,0.010870,0.440202,0.321243,0.017802,0.475587,0.395799,0.054802,0.562138,0.286420,0.136262,0.275489,0.410800,0.021598,0.488524,0.257933,0.479337,0.491813,0.245038,0.442190,0.542143,0.457084,0.588436,0.549369,0.462220,0.541673,0.760477,0.340218,0.593358,0.789422,0.346436,0.435617
0.0,0.472884,0.496045,0.125553,0.428266,0.508301,0.112772,0.431611,0.507971,0.157248,0.444010,0.468078,0.098731,0.435072,0.492390,0.156041,0.459732,0.439336,0.179256,0.446973,0.443595,0.239918,0.505981,0.451426,0.105745,0.458713,0.455855,0.221506,0.389621,0.525077,0.246137,0.385543,0.514479,0.368258,0.509216,0.240970,0.552374,0.503043,0.222772,0.405997,0.607490,0.411127,0.613183,0.522421,0.457264,0.234565,0.770843,0.337490,0.596265,0.784843,0.364344,0.467881
0.0,0.418364,0.494401,0.104723,0.409474,0.497816,0.187095,0.410108,0.511996,0.137276,0.404713,0.477116,0.200254,0.387002,0.469491,0.207079,0.453633,0.443538,0.348260,0.404286,0.390149,0.289878,0.539355,0.451561,0.418206,0.380127,0.368465,0.334542,0.400735,0.526725,0.392260,0.386866,0.517130,0.531481,0.520968,0.241829,0.637945,0.492475,0.229348,0.465764,0.559176,0.438763,0.520900,0.526401,0.437674,0.583092,0.761414,0.360193,0.514234,0.792100,0.355793,0.334123
0.0,0.401558,0.532828,0.103955,0.385071,0.562305,0.200488,0.374903,0.550501,0.182995,0.364833,0.498290,0.144611,0.328636,0.468459,0.176726,0.422933,0.444982,0.288863,0.360523,0.386558,0.281711,0.541176,0.460639,0.326790,0.373172,0.372433,0.289297,0.397642,0.530759,0.472554,0.375799,0.527818,0.412899,0.525455,0.247480,0.478129,0.499134,0.214237,0.459374,0.551324,0.458798,0.599088,0.549133,0.449351,0.580996,0.800243,0.363880,0.496960,0.777689,0.328362,0.317890
0.0,0.405610,0.568551,0.528157,0.394464,0.582172,0.515965,0.371351,0.580377,0.549958,0.379739,0.547827,0.370725,0.359864,0.538467,0.283398,0.431250,0.471396,0.363344,0.361923,0.419137,0.290925,0.543717,0.469583,0.184952,0.380857,0.404853,0.293503,0.394817,0.534276,0.477805,0.377399,0.529458,0.356086,0.524236,0.251364,0.649833,0.496220,0.224781,0.390336,0.560685,0.447144,0.638269,0.548053,0.467497,0.504797,0.791099,0.363334,0.544972,0.794537,0.333965,0.485204
0.0,0.417173,0.556407,0.484035,0.402014,0.573960,0.562987,0.377926,0.580162,0.576358,0.389877,0.529470,0.362252,0.349935,0.524786,0.390486,0.420606,0.449571,0.347665,0.354055,0.428538,0.313343,0.525977,0.461725,0.191265,0.374570,0.395142,0.272184,0.387776,0.526059,0.540929,0.404717,0.534119,0.413437,0.520614,0.251858,0.542702,0.487715,0.220293,0.426135,0.549923,0.456033,0.565676,0.529455,0.461923,0.466058,0.775359,0.352882,0.585695,0.808820,0.334196,0.489801
0.0,0.398606,0.560429,0.492978,0.385875,0.565225,0.635555,0.392088,0.574863,0.564934,0.384853,0.552738,0.402391,0.374713,0.528782,0.520069,0.452985,0.472074,0.417394,0.353686,0.420567,0.278533,0.551063,0.474308,0.117810,0.373962,0.398019,0.335790,0.400207,0.517850,0.457606,0.376894,0.514869,0.319593,0.529393,0.252908,0.620053,0.483337,0.231384,0.526768,0.560956,0.454328,0.711057,0.534900,0.444183,0.457983,0.772492,0.347244,0.614984,0.798880,0.347360,0.549482
0.0,0.410739,0.574874,0.461341,0.397034,0.574356,0.548246,0.397589,0.583130,0.531179,0.375560,0.534934,0.373645,0.362153,0.530627,0.345798,0.432787,0.459308,0.419867,0.357702,0.413763,0.289853,0.537346,0.475742,0.165152,0.377262,0.397223,0.300342,0.389399,0.526228,0.467315,0.380675,0.531318,0.293979,0.501950,0.250023,0.591328,0.475625,0.224850,0.562483,0.555153,0.447041,0.547493,0.550695,0.451465,0.464390,0.773012,0.342692,0.498039,0.780506,0.339660,0.490143
0.0,0.389797,0.570514,0.279245,0.364717,0.552491,0.199245,0.365379,0.539454,0.200115,0.344367,0.490031,0.149172,0.322180,0.485063,0.241407,0.404004,0.457063,0.343715,0.354518,0.385139,0.354974,0.511314,0.445352,0.385757,0.380014,0.375279,0.218636,0.377242,0.506085,0.550751,0.386816,0.511853,0.435808,0.524755,0.246577,0.543668,0.477480,0.228775,0.513943,0.543756,0.439759,0.623176,0.546337,0.460807,0.487136,0.790291,0.347559,0.460898,0.790150,0.346560,0.576639
0.0,0.540402,0.429522,0.111536,0.573959,0.408812,0.124724,0.516629,0.451332,0.076860,0.509300,0.394836,0.177180,0.526917,0.452469,0.126250,0.460601,0.345932,0.243805,0.464882,0.385214,0.176161,0.582701,0.360615,0.116733,0.529952,0.444094,0.132820,0.601218,0.280178,0.077690,0.457680,0.334269,0.028280,0.504581,0.244996,0.497336,0.502426,0.232388,0.506119,0.553814,0.443345,0.588575,0.538591,0.462319,0.500517,0.758171,0.345530,0.547617,0.770180,0.356892,0.403924
0.0,0.490940,0.353565,0.034735,0.450726,0.337969,0.031872,0.502177,0.369325,0.037203,0.455891,0.267563,0.033776,0.470424,0.271587,0.016841,0.429219,0.225049,0.058504,0.419214,0.332136,0.047814,0.538049,0.239823,0.027278,0.493012,0.414978,0.048378,0.551430,0.242609,0.178998,0.434545,0.318759,0.043294,0.472495,0.247182,0.066611,0.462390,0.301697,0.259521,0.567451,0.409276,0.194817,0.592597,0.435607,0.332781,0.754757,0.329169,0.497817,0.788924,0.353038,0.497107
0.0,0.416937,0.425418,0.076388,0.428189,0.407483,0.053363,0.429581,0.452070,0.059566,0.394590,0.356833,0.050938,0.420780,0.371318,0.059271,0.408480,0.243689,0.066480,0.373962,0.354787,0.061738,0.509273,0.245558,0.057838,0.467065,0.417611,0.045160,0.534464,0.259101,0.043558,0.459091,0.404259,0.061829,0.437728,0.243490,0.122078,0.432397,0.289566,0.363264,0.593396,0.362388,0.389645,0.551265,0.422492,0.314470,0.788265,0.327205,0.413924,0.801830,0.353213,0.419342
0.0,0.304417,0.588475,0.534952,0.272811,0.575623,0.735269,0.268687,0.558987,0.683195,0.269246,0.531371,0.624589,0.264168,0.528880,0.494896,0.302061,0.468404,0.433469,0.269257,0.439496,0.395430,0.373581,0.443755,0.584398,0.295831,0.256718,0.154263,0.329484,0.412048,0.488747,0.241978,0.397236,0.109619,0.416392,0.311889,0.438120,0.383623,0.274249,0.428555,0.565089,0.402585,0.698911,0.550317,0.384466,0.420037,0.809758,0.330007,0.372504,0.784352,0.345913,0.369273
0.0,0.271832,0.588202,0.737735,0.251840,0.576301,0.628552,0.250640,0.583798,0.638874,0.234928,0.532483,0.684313,0.233865,0.516033,0.718451,0.267430,0.470779,0.617801,0.244893,0.458159,0.382004,0.348396,0.425891,0.842721,0.260623,0.269816,0.129395,0.206594,0.406099,0.735354,0.209104,0.387858,0.378442,0.382438,0.291514,0.619666,0.347585,0.252348,0.454734,0.568451,0.428039,0.780166,0.552359,0.358832,0.777917,0.771119,0.365414,0.468876,0.787417,0.326673,0.478039
0.0,0.244416,0.584833,0.592275,0.228075,0.566726,0.641080,0.222795,0.593560,0.679811,0.209204,0.525687,0.844502,0.205264,0.530782,0.750548,0.263073,0.490129,0.729913,0.214795,0.456815,0.333900,0.344682,0.424088,0.882046,0.244835,0.267883,0.112875,0.271011,0.406770,0.734933,0.179106,0.403909,0.098735,0.358947,0.283235,0.699391,0.347943,0.239287,0.634587,0.562289,0.402992,0.616273,0.530725,0.365302,0.725672,0.759152,0.378220,0.707515,0.794661,0.305337,0.622858
0.0,0.224512,0.582312,0.748653,0.200966,0.573147,0.686243,0.203200,0.564511,0.597401,0.182876,0.544321,0.868770,0.183631,0.513946,0.819880,0.229734,0.465596,0.805421,0.189605,0.450637,0.447837,0.323554,0.393304,0.826100,0.224232,0.279666,0.158627,0.279956,0.386992,0.765614,0.144733,0.412201,0.051904,0.356899,0.281968,0.757961,0.337084,0.241479,0.605001,0.566792,0.406207,0.869789,0.529488,0.345882,0.837305,0.774788,0.376253,0.558075,0.766336,0.288944,0.559213
0.0,0.193623,0.587598,0.746292,0.168228,0.577652,0.616465,0.168621,0.573092,0.684990,0.158066,0.550466,0.715527,0.157833,0.524522,0.690271,0.226202,0.486844,0.829935,0.161332,0.448340,0.642319,0.329624,0.403701,0.788578,0.206012,0.289565,0.127520,0.410229,0.409287,0.660294,0.120660,0.411255,0.163856,0.323643,0.292474,0.524020,0.311082,0.261387,0.537536,0.532150,0.378930,0.818909,0.544232,0.317114,0.830069,0.750511,0.362284,0.632437,0.755371,0.282645,0.679680
0.0,0.172924,0.571364,0.627335,0.153542,0.586406,0.798295,0.150426,0.586945,0.778045,0.133385,0.531953,0.801604,0.131888,0.537539,0.809793,0.217020,0.470945,0.694123,0.132522,0.444987,0.516357,0.342488,0.407796,0.878662,0.192822,0.290538,0.190792,0.424721,0.398873,0.574252,0.106054,0.419820,0.235584,0.353969,0.341889,0.508283,0.299813,0.291093,0.486530,0.564853,0.379697,0.780590,0.536657,0.323608,0.661133,0.782136,0.362831,0.561424,0.768484,0.288919,0.719756
0.0,0.157124,0.564170,0.680263,0.135788,0.577627,0.755009,0.135952,0.566695,0.601005,0.122360,0.523874,0.742189,0.127090,0.532382,0.521457,0.177011,0.458635,0.803981,0.129396,0.446458,0.237034,0.317867,0.420056,0.834806,0.186630,0.308077,0.294782,0.412387,0.405995,0.651365,0.088331,0.418812,0.410912,0.347297,0.349916,0.494535,0.313186,0.294453,0.551602,0.574881,0.388607,0.649454,0.541734,0.324619,0.707621,0.798681,0.376018,0.599611,0.786660,0.293127,0.596256
0.0,0.156708,0.573078,0.627585,0.130990,0.568092,0.791373,0.130673,0.557911,0.755332,0.116181,0.552156,0.794692,0.109107,0.531822,0.760295,0.180842,0.471129,0.793964,0.123256,0.459984,0.379686,0.315966,0.419737,0.890134,0.182084,0.302015,0.373533,0.400592,0.434638,0.453024,0.085511,0.422913,0.457338,0.350212,0.360485,0.529386,0.331699,0.314418,0.717143,0.557400,0.393173,0.658976,0.529606,0.327841,0.696281,0.801559,0.374191,0.669084,0.778855,0.300454,0.778295
0.0,0.156359,0.573199,0.660364,0.130649,0.582705,0.756163,0.131644,0.572932,0.726296,0.109881,0.536884,0.603734,0.106427,0.523591,0.672142,0.174329,0.481893,0.609723,0.116498,0.456313,0.404092,0.301834,0.423762,0.782616,0.175467,0.303178,0.344711,0.388104,0.422614,0.424436,0.077125,0.419477,0.379094,0.331021,0.367700,0.655664,0.301410,0.321663,0.594902,0.568836,0.398815,0.819841,0.540559,0.331196,0.617368,0.770539,0.371235,0.616555,0.784260,0.302357,0.706186
0.0,0.149883,0.568591,0.686099,0.127372,0.563840,0.596285,0.122482,0.589337,0.653938,0.108319,0.549448,0.801985,0.100184,0.530831,0.761048,0.183028,0.472065,0.680851,0.110450,0.461711,0.469458,0.300103,0.417835,0.831061,0.170449,0.310658,0.387117,0.392387,0.420368,0.375896,0.075511,0.398787,0.277033,0.341046,0.361329,0.555801,0.308951,0.307813,0.681459,0.538221,0.388044,0.739094,0.532980,0.335621,0.743643,0.776379,0.360448,0.640023,0.784972,0.297567,0.693098
0.0,0.149743,0.567969,0.707171,0.121487,0.571958,0.608768,0.124995,0.586324,0.632055,0.100503,0.535786,0.735293,0.099505,0.523155,0.799533,0.166379,0.460290,0.848077,0.110595,0.462024,0.405115,0.313667,0.413408,0.806280,0.178256,0.305190,0.382315,0.391025,0.423060,0.385799,0.074150,0.420154,0.316797,0.351853,0.365973,0.513386,0.322212,0.316245,0.676681,0.553219,0.402952,0.688370,0.540071,0.337647,0.622720,0.785477,0.365330,0.639624,0.760768,0.289687,0.716761
